,Unnamed: 0,NDC,Manufacturer,Product,Product Launch Date,Estimated LOE Date,Major Class,Acute/Chronic,Prod Form,Pack Size,Pack Quantity,Date,Year,Month,TRx,Previous_TRx,TRx_cumulative,WAC,Pct_change,Changed,total_avg_TRx,Unnamed: 21,months_since_change
0,534,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-04,2015,4,16,,16,11.66333,,0,191.5609756,,0.0
1,535,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-05,2015,5,116,16.0,132,11.66333,0.0,0,191.5609756,,0.0
2,536,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-06,2015,6,242,116.0,374,11.66333,0.0,0,191.5609756,,0.0
3,537,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-07,2015,7,288,242.0,662,13.333329999999998,0.143183808,1,191.5609756,,0.0
4,538,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-08,2015,8,326,288.0,988,13.333329999999998,0.0,0,191.5609756,,0.03333333333333333
5,539,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-09,2015,9,295,326.0,1283,13.333329999999998,0.0,0,191.5609756,,0.06666666666666667
6,540,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-10,2015,10,308,295.0,1591,13.333329999999998,0.0,0,191.5609756,,0.1
7,541,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-11,2015,11,315,308.0,1906,13.333329999999998,0.0,0,191.5609756,,0.13333333333333333
8,542,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2015-01-12,2015,12,295,315.0,2201,13.333329999999998,0.0,0,191.5609756,,0.16666666666666666
9,543,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-01,2016,1,256,295.0,256,16.0,0.2000003,1,191.5609756,,11.966666666666667
10,544,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-02,2016,2,257,256.0,513,16.0,0.0,0,191.5609756,,0.03333333333333333
11,545,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-03,2016,3,306,257.0,819,16.0,0.0,0,191.5609756,,0.06666666666666667
12,546,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-04,2016,4,251,306.0,1070,16.0,0.0,0,191.5609756,,0.1
13,547,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-05,2016,5,262,251.0,1332,16.0,0.0,0,191.5609756,,0.13333333333333333
14,548,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-06,2016,6,250,262.0,1582,16.0,0.0,0,191.5609756,,0.16666666666666666
15,549,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-07,2016,7,184,250.0,1766,16.0,0.0,0,191.5609756,,0.2
16,550,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-08,2016,8,238,184.0,2004,16.0,0.0,0,191.5609756,,0.23333333333333334
17,551,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-09,2016,9,213,238.0,2217,16.0,0.0,0,191.5609756,,0.26666666666666666
18,552,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-10,2016,10,225,213.0,2442,16.0,0.0,0,191.5609756,,0.3
19,553,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-11,2016,11,213,225.0,2655,16.0,0.0,0,191.5609756,,0.3333333333333333
20,554,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2016-01-12,2016,12,240,213.0,2895,16.0,0.0,0,191.5609756,,0.36666666666666664
21,555,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-01,2017,1,210,240.0,210,16.0,0.0,0,191.5609756,,12.2
22,556,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-02,2017,2,211,210.0,421,16.0,0.0,0,191.5609756,,12.233333333333333
23,557,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-03,2017,3,210,211.0,631,16.0,0.0,0,191.5609756,,12.266666666666667
24,558,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-04,2017,4,171,210.0,802,16.0,0.0,0,191.5609756,,12.3
25,559,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-05,2017,5,200,171.0,1002,16.0,0.0,0,191.5609756,,12.333333333333334
26,560,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-06,2017,6,170,200.0,1172,16.0,0.0,0,191.5609756,,12.366666666666667
27,561,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-07,2017,7,146,170.0,1318,16.0,0.0,0,191.5609756,,12.4
28,562,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-08,2017,8,174,146.0,1492,17.425,0.0890625,1,191.5609756,,12.433333333333334
29,563,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-09,2017,9,155,174.0,1647,17.425,0.0,0,191.5609756,,0.03333333333333333
30,564,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-10,2017,10,175,155.0,1822,17.425,0.0,0,191.5609756,,0.06666666666666667
31,565,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-11,2017,11,160,175.0,1982,17.425,0.0,0,191.5609756,,0.1
32,566,13551021001,Avadel Legacy Pharmaceuticals Inc.,ACIPHEX SPRINKLE 11/2013 CEO,11/1/2013 0:00,Unspecified,ANTI-ULCERANTS,CHRONIC,ORALS,1,30.0,2017-01-12,2017,12,157,160.0,2139,17.425,0.0,0,191.5609756,,0.13333333333333333
