Date,A.C.T.H.,A05A1 CHOLERETICS+CHOLEKINETIC,ADHD,ALL OTHER RESPIRATORY,ALL OTHER THERAPEUTICS,ALL OTHER UROLOGICAL,"ALLERGY, SYSTEMIC & NASAL",ANTI-ALZHEIMERS,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,"ANTI-OBESITY PREPS, EXCL. DIETETICS","ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ANTI-ULCERANTS,ANTIBACTERIALS,ANTICOAGULANTS,ANTIDIABETICS,ANTIGOUT PREPS,"ANTIHYPERTENSIVES, PLAIN & COMBO",ANTITUBERCULARS,"ANTIVIRALS, HERPES",BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,BLOOD COAGULATION,BPH (BENIGN PROSTATIC HYPERTROPHY),"CANCER DETOX AG, ANTI-NAUSEANTS","CORTICOSTEROIDS, PLAIN & COMBO","COUGH COLD, INCL FLU ANTIVIRALS",DERMATOLOGICS,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,DIETETICS,EAR TREATMENTS&EYE-EAR COMBOS,ERECTILE DYSFUNCTION,ERYTHROPOIETINS,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,GI PRODUCTS,GROWTH HORMONES,HEMATOPOIETIC GROWTH FACTORS,HIV ANTIVIRALS,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",HOSPITAL SOLUTIONS,HYPOTHALAMIC HORMONES,IMAGING,IMMUNOLOGY,IMMUNOSUPPRESSANTS,"INTERFERONS, EXCL MS MARKET",J07D6 TUBERCULOSIS VACCINES,LABOUR INDUCERS,LIPID REGULATORS,MENTAL HEALTH,MIOTICS+ANTIGLAUCOMA PREPS,MULTIPLE SCLEROSIS,"NASAL PREPS, TOPICAL",NERVOUS SYSTEM DISORDERS,OCULAR ANTINEOVASCULARISATION,ONCOLOGICS,"OPHTHALMOLOGY, GENERAL",OSTEOPOROSIS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER CARDIOVASCULARS,OTHER CNS,OTHER HAEMATOLOGICALS,OTHER HORMONES,OTHER WOMEN'S HEALTH,PAIN,POLYVAL IMMUNOGLOBLULINS IV&IM,RESP ANTIVIRALS EX FLU,RESPIRATORY AGENTS,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,SYST ANTIFUNGALS,THROMBOPOIETIN AGONISTS,THYROID ANTI-THYROID AND IODINE PREPS,URINARY INCONTINENCE,"VACCINES (PURE, COMB, OTHER)",VIRAL HEPATITIS,VITAMINS & MINERALS
2014_08,6325.2,,8.33093407212529,426.71667,9.518404888525813,6.365980722183016,5.912017560698074,7.751813031165354,4.737085164556962,3.6547529894747597,5.2203300000000015,55.579346347675646,6.946531772157288,36.16748818515043,7.901194805029945,19.54861839907373,7.845330000000002,4.643569006344939,9.090526353383458,32.7637363402297,8.9561,22.474884344204003,4.793098056555401,109.93311974130137,5.680251852648175,10.290147072822466,37.833643134527904,36.8191985428051,12.61433,18.23,26.658397095427205,593.4904601292142,25.833399503235235,16.177764507361537,665.65,3077.2864541528584,36.37209178922955,40.718448616246356,1.3999999999999997,1547.8125305229935,,1586.457019672913,7.981587507669734,1406.7155867540323,145.15,0.8923142857142858,6.117296915939723,60.37242307482264,33.41991559952798,1091.8214662141675,9.613417158234506,5.581135451166415,33686.54970760234,452.37328189977126,40.63602626192484,210.34182715469638,451.54474426776227,7.8872779189668565,7.199532193947136,2994.3299876515152,67.84153929008568,,8.826844888804862,,,17.969048468321006,38.1765457748183,,49.73852756046994,1867.725806451613,1.8705400562285261,7.382364879879797,141.7591624955014,671.7679127522341,2.068927338403042
2014_09,6325.2,,8.264518374857632,426.71667,9.955373209355677,6.208457780384109,5.9694479993624405,7.471269207189979,4.919444990353697,3.6920812777990437,5.2203300000000015,55.21225965177566,6.930735756541598,32.60123110071071,7.923226887250339,19.63157279242698,7.937269764129625,4.632421833034948,8.209799520807062,32.82122951565884,8.9561,22.548714639769454,4.793766959710663,117.34886817730654,5.7009092115741975,9.90755983525284,42.144156071274566,35.125872093023254,12.61433,18.23,26.588325525917814,595.2270360076858,25.605545367524915,16.17349854400421,651.7008544827586,3147.3219926717247,36.57846807355355,41.455503515986095,1.3999999999999997,1489.445849554896,,1585.993696641379,7.988365314734694,1303.5718993482308,145.15,0.8204235294117648,6.115062837747909,61.57307055536936,33.26390530795983,992.7255066622297,9.582112459968148,5.6125652154718,33121.219091431856,452.6499206330905,40.687189974002585,223.34648081834385,443.12088596074847,8.183788954676722,7.210129976120593,2991.09797563981,55.01790277442701,,8.834878083739568,,,17.945945333732798,41.82453740025666,,53.102874699999994,1900.3024193548388,1.8542877100222521,7.382947024900862,150.19039973379108,727.6803945964762,2.0510751813471506
2014_10,6325.2,,8.245827315570521,422.23788205387206,9.490189723329483,6.18580447688842,6.353013777829258,7.638757874799522,4.73910144978166,3.7254089771716576,5.2203300000000015,55.94272256451072,6.944304361546605,32.509021105898185,7.924177754074243,19.821314222729907,7.8453300000000015,4.63013038527939,7.764744153846154,32.12266092533709,8.9561,29.231285580713177,4.794814944562814,116.64568393544248,5.72820684633632,9.261889432390118,46.187401319122344,33.76416666666666,12.61433,19.96,26.537597930894307,584.9222927261312,25.920292491186835,16.227460557980585,442.74834816326523,3139.3479565043563,36.81403055823814,41.099844792299834,1.4,1532.4998933277764,,1576.5636098574275,7.947624775449428,1712.4692982676445,145.15,1.1384615384615384,6.115644755620149,62.14979011021522,34.137546164477186,941.2640132240771,9.504842640013129,5.622770160846132,33808.85780885781,456.163286160944,42.295280495210676,240.0877452894162,958.9377958340649,8.21111252576274,7.3236476075446735,3032.565879158485,48.281794784876126,,8.824627307020089,,,18.20757691098532,43.840996360414046,,48.04218272421524,1880.9885496183206,1.8625331830619483,7.390120836818749,169.0714215530714,771.4980229886944,2.0638046896551727
2014_11,6325.2,,8.257706635635426,357.3398066074314,8.890759283673841,6.18579095804283,5.396917180538228,7.674108789826568,4.80738896882494,3.758718520241731,5.2203300000000015,54.33854446834326,6.953259735235801,31.22840095471497,7.8369490258089645,21.536929833830797,7.877572550732234,4.6187826986347345,7.955649056047197,31.776419966930913,8.9561,32.09212751200961,4.796730011852862,112.85683950867387,5.746401243632003,8.501864275907144,50.85847214782793,26.37819472616633,12.61433,19.96,26.47144627042199,586.7819303059797,25.881351668004122,16.195792557022447,267.4454865625,3077.697238190837,37.183909012922626,40.58032647750973,1.4,1633.3478220000002,,1630.2858604032265,7.415421091489859,1637.2613846532663,145.15,1.0947368421052632,6.115882840756187,61.52086591831791,34.02162773365556,972.4804074881633,9.513069440017388,5.652317201917407,33421.128798842255,463.2020589471591,41.995643075487614,240.3781497108156,1802.7214472005635,8.051348131779697,7.335844149319517,2994.5139193382356,47.3379280748663,,8.853859051505154,,,18.004402573159805,41.72204826151006,,50.24680743338268,1916.551094890511,1.8848075972314917,7.396961465013014,175.89945760049238,832.885543531891,2.061356195219124
2014_12,6452.0,,8.508476080880422,238.34809660907126,8.844283337215959,6.1822876877967055,5.239234612661304,7.770223193788165,5.033713090293453,3.903681816982613,5.2203300000000015,57.651474162842966,7.0613546716188305,30.351394784247834,8.257484092624951,21.760364001789398,7.874212071372687,4.5852512535346905,8.044609006410257,25.712721849305456,8.9561,36.83773035465926,4.798386141561401,114.11021421089949,5.590483951907998,9.190731372979156,52.951286950730854,23.486422872340427,12.61433,19.96,27.52212168435493,593.9187797699954,25.408796304126856,16.219534155390715,222.22812423076923,3129.5864402166417,37.38925319938452,41.462461419514234,1.4,2623.1423845161926,,1644.2349865027902,7.250719404915161,1799.5941038017174,145.15,1.075,6.139842190100742,63.26253290123328,33.895071341077426,977.4731086998183,9.494361524563141,5.620044404185917,33433.93375944218,555.317541445908,41.681192354385466,283.21708910275737,1145.559732144242,8.47325804234659,7.422811571309013,2923.6234691845493,47.347025325443774,,10.082856672187898,,,18.086363845638665,32.82167568755991,,53.41255014004309,1815.8514285714286,1.4574294433149848,7.402244066519602,179.18065227788108,885.1888497703707,2.0582791482391483
2015_01,6452.0,,9.008112924727122,183.12010053510437,8.437831437626569,6.793245434075557,5.512171028912896,7.854018118182585,4.8357012927850285,4.046056384056266,5.690109999999999,60.66383461256973,7.056761298817286,31.2896878157691,8.318335089658321,22.37806465387711,7.8453300000000015,4.9320659647743526,8.69360959152799,22.54970612610991,8.9561,40.50798494130347,5.277168197017015,122.75714300796083,5.827186425611549,9.672768251252384,55.50873097664543,16.836006441223834,12.614329999999999,21.755,28.84807514355482,593.2511150213512,26.655192112766642,20.265789655107298,187.60671827826087,3295.7077620020677,38.811409745329364,43.19148883463776,1.4,1638.9388555246326,,1674.7219384828375,7.675706398329351,1836.2332746249997,145.15000000000003,1.0625,6.7308607425762,67.03136480257331,35.62570884304624,931.8095246415328,10.680606099031646,6.150429437197292,33781.20028922632,480.1266957868151,45.46548215830229,282.8342604745028,1202.3129797438016,7.945604931785014,7.47399410991329,3141.0426234132583,49.06339544764794,,10.447106962341488,,,18.351705754322506,41.06306532476237,,58.57208032052387,1777.0136054421769,1.9544441301219462,7.567446020500869,173.1560801651978,917.7681528664234,2.0731737545454547
2015_02,6452.0,,9.025100484594207,138.56554541988538,8.886423806655833,6.791048420259064,5.521416439879437,7.964233627109897,5.04483957328386,4.0748206870837445,5.690109999999999,66.72756263517145,6.98016468025599,31.201658925425377,8.29621366685998,23.06820989014897,7.8453300000000015,4.9258101384638575,8.278202907563026,20.767463707904753,8.9561,40.46810253582156,5.280517608116125,122.50341586856317,5.854079090134077,9.701723441076604,58.807415180510745,14.452056025369979,12.61433,21.755,28.805386014065586,596.6020975273811,29.17177941150828,17.46514404350199,176.94962194610778,3234.7439036376522,39.36864281694346,43.79116483829443,1.5545,1550.7772828844847,68.631,1665.8009433005507,7.588698754132876,1759.638999903753,145.15,1.0875,6.734320278215991,67.70931674141332,35.479305637799584,943.0415915829628,10.657974367394512,6.190368676237265,33590.308370044055,473.4141258790434,45.64429879396556,271.5838287047078,1328.4376635048097,9.171726739809916,7.517548090514643,3090.979767827529,50.76832078313253,,10.64166325272698,,,18.646392640984317,43.85414886530359,,59.85625624431818,1927.7545454545452,1.9867531200376751,8.162797827954856,173.20835363150553,954.2844897510821,2.030903260038241
2015_03,6452.0,,9.025631139778712,120.89367134878819,9.092709077625399,6.790984797555386,5.427842731917046,8.064879912184612,5.087082876404494,4.116555603130213,5.690110000000001,68.91860915200901,6.744942046350244,34.08560030667491,8.240213697649201,23.780125605975957,7.857429706107594,4.928421923696561,7.388441328244275,19.521925521773245,8.9561,44.4803774741873,5.281100111194206,123.11498824944071,5.908010461516307,9.771787680927373,59.20253419607959,13.451693347563145,12.61433,21.755,28.64614917607246,589.2350006769158,32.36808801625735,18.198042468046417,181.736705575,3259.9857187446405,39.58238819282802,43.44497710461592,1.573380281690141,1649.590281020046,,1681.307760939968,7.459145384186432,1800.0784245336788,145.15,1.1027027027027028,6.728006984739188,68.88516850244253,35.41109849589555,993.6583799680078,10.626168964696122,6.197161833709673,33923.62673726009,472.4913410370149,46.27802358732097,271.2464601188031,1344.4303437271396,9.034954223297923,7.576504834181703,3138.6760842627014,53.12171908957415,,10.706557270093933,,,18.880297490504137,44.24091687475753,,57.685564341504644,1911.5888888888887,2.0018380668429856,8.172277206869156,185.59236403540635,963.957017428777,2.0635578578199056
2015_04,6452.0,275.83333,9.019208370481222,112.82257190102519,9.517504261649446,6.792052907979307,5.4446334113297175,9.102563264541203,5.163064173723687,4.152727026555278,9.00502235845896,71.60059050656452,6.831097918032671,35.12001948777403,8.235786718100183,24.356770141423347,8.622,4.940707399359321,6.6079874339035785,19.48335671213809,8.9561,44.53547843922916,5.2867559539769635,123.16512769286145,5.887783140234728,10.046582781338232,61.57070792113779,11.51206725663717,13.280999999999999,23.715,28.517009798712532,602.0148554406044,37.08221117339973,17.94391376872159,175.1194180222497,3317.1913176284675,41.32775671800887,40.496510788393174,1.6,1749.0283004066507,,1720.362615442833,7.584284539768865,1897.15987041988,145.15000000000003,1.1728813559322033,6.728067948203368,69.37176400136873,36.38820963146597,976.9427245621692,10.591441571865968,6.21992685908276,34237.19676549865,475.7211936531661,47.817931093659446,271.2894948227435,1262.4927290750372,8.396767246616633,7.629714356069788,3166.4365580182525,50.02112967542504,,10.12414949473511,,,19.231899528190358,46.03839700682193,,55.99893866319754,1937.6936046511623,2.014410825530928,8.180878320153498,184.2554838106882,966.2595900009906,2.060511187438665
2015_05,6452.0,275.83333,9.214796120880854,109.8208639305682,9.466132421720829,6.792854791727352,5.378943570909303,9.199354453070185,5.29641829394387,4.180928809529534,35.475192288135595,74.2072125353369,7.0922666178585425,37.47460867661301,8.32311299809031,25.319022359836037,8.622,4.96051899306087,7.139994626865672,18.63265599925234,8.9561,51.165565700958794,5.287708385682566,125.39272410663358,5.916265767034343,9.94647069142373,61.980925535380344,12.679367366113373,13.280999999999999,23.715,29.61418338291281,602.0561011620275,38.58320319378852,17.729468836324678,167.40523059895833,3294.7472063688574,41.60685953461534,38.49856349892364,1.6,1611.651346100852,,1751.8370518945574,7.533848415640453,2162.0771861665057,145.15000000000003,1.5114893617021274,6.727833248990943,78.03456423046396,38.30386989197838,943.1076478226427,10.55390083503262,6.220979450911267,34218.27079934747,475.0423952647551,48.033987398200885,300.45701431545444,1140.3139137774356,8.054751027444892,7.698765817389974,3196.1138255033557,51.34142720897616,,10.313495847158148,,,19.343020131782506,44.20464893744284,,56.874080764253236,1944.4859999999996,2.0877202695890946,8.192014618575973,176.2607161729481,961.9784477343268,2.045083502538071
