ndc,cluster,class,acute_chronic,form
2143301,296,ANTIDIABETICS,CHRONIC,INJECTABLES
2143380,31,ANTIDIABETICS,CHRONIC,INJECTABLES
2143401,296,ANTIDIABETICS,CHRONIC,INJECTABLES
2143480,9,ANTIDIABETICS,CHRONIC,INJECTABLES
2143601,99,PAIN,ACUTE,INJECTABLES
2143611,72,PAIN,ACUTE,INJECTABLES
2144501,218,IMMUNOLOGY,CHRONIC,INJECTABLES
2144509,212,IMMUNOLOGY,CHRONIC,INJECTABLES
2144511,21,IMMUNOLOGY,CHRONIC,INJECTABLES
2144527,112,IMMUNOLOGY,CHRONIC,INJECTABLES
2237701,218,PAIN,ACUTE,INJECTABLES
2237711,160,PAIN,ACUTE,INJECTABLES
2311509,142,PAIN,ACUTE,INJECTABLES
2322730,0,ADHD,CHRONIC,ORALS
2322830,279,ADHD,CHRONIC,ORALS
2322930,279,ADHD,CHRONIC,ORALS
2323030,218,OTHER CNS,CHRONIC,ORALS
2323130,218,OTHER CNS,CHRONIC,ORALS
2323330,218,OTHER CNS,CHRONIC,ORALS
2323560,218,MENTAL HEALTH,CHRONIC,ORALS
2323830,0,ADHD,CHRONIC,ORALS
2323930,279,ADHD,CHRONIC,ORALS
2324030,99,MENTAL HEALTH,CHRONIC,ORALS
2324090,218,MENTAL HEALTH,CHRONIC,ORALS
2325030,279,ADHD,CHRONIC,ORALS
2325130,0,ADHD,CHRONIC,ORALS
2327004,218,MENTAL HEALTH,CHRONIC,ORALS
2327030,206,MENTAL HEALTH,CHRONIC,ORALS
2411230,218,MENTAL HEALTH,CHRONIC,ORALS
2411530,218,MENTAL HEALTH,CHRONIC,ORALS
2411630,218,MENTAL HEALTH,CHRONIC,ORALS
2411730,99,MENTAL HEALTH,CHRONIC,ORALS
2416502,218,OSTEOPOROSIS,CHRONIC,ORALS
2416507,218,OSTEOPOROSIS,CHRONIC,ORALS
2418230,243,IMMUNOLOGY,CHRONIC,ORALS
2418402,218,OSTEOPOROSIS,CHRONIC,ORALS
2418430,218,OSTEOPOROSIS,CHRONIC,ORALS
2431208,218,PAIN,ACUTE,ORALS
2441530,218,MENTAL HEALTH,CHRONIC,ORALS
2442030,99,MENTAL HEALTH,CHRONIC,ORALS
2445385,218,MENTAL HEALTH,CHRONIC,ORALS
2445485,218,MENTAL HEALTH,CHRONIC,ORALS
2445585,218,MENTAL HEALTH,CHRONIC,ORALS
2445685,218,MENTAL HEALTH,CHRONIC,ORALS
2446230,180,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446234,271,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446279,218,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446330,180,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446430,119,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446534,0,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446579,218,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2448354,99,ONCOLOGICS,ACUTE,ORALS
2449108,218,PAIN,ACUTE,ORALS
2473230,218,IMMUNOLOGY,CHRONIC,ORALS
