DATE,CPIAUCNS_NBD20140101
1/1/2014,100
2/1/2014,100.36979
3/1/2014,101.01618
4/1/2014,101.3492
5/1/2014,101.70318
6/1/2014,101.89256
7/1/2014,101.8528
8/1/2014,101.68266
9/1/2014,101.75918
10/1/2014,101.50353
11/1/2014,100.95547
12/1/2014,100.38304
1/1/2015,99.91065
2/1/2015,100.34457
3/1/2015,100.94179
4/1/2015,101.14699
5/1/2015,101.66256
6/1/2015,102.01867
7/1/2015,102.02551
8/1/2015,101.88102
9/1/2015,101.72241
10/1/2015,101.67667
11/1/2015,101.46206
12/1/2015,101.11536
1/1/2016,101.28251
2/1/2016,101.36587
3/1/2016,101.80236
4/1/2016,102.28501
5/1/2016,102.69883
6/1/2016,103.03613
7/1/2016,102.86941
8/1/2016,102.96388
9/1/2016,103.21141
10/1/2016,103.34009
11/1/2016,103.17935
12/1/2016,103.21312
1/1/2017,103.81462
2/1/2017,104.14123
3/1/2017,104.22588
4/1/2017,104.53496
5/1/2017,104.62431
6/1/2017,104.71922
7/1/2017,104.64697
8/1/2017,104.96033
9/1/2017,105.51608
10/1/2017,105.44939
11/1/2017,105.45196
12/1/2017,105.38997
1/1/2018,105.96411
2/1/2018,106.44462
3/1/2018,106.68531
4/1/2018,107.10939
5/1/2018,107.55485
6/1/2018,107.72628
7/1/2018,107.73355
8/1/2018,107.7934
9/1/2018,107.91865
10/1/2018,108.10932
11/1/2018,107.74723
12/1/2018,107.40308
1/1/2019,107.60786
2/1/2019,108.06272
3/1/2019,108.67234
4/1/2019,109.24776
5/1/2019,109.48033
6/1/2019,109.50213
7/1/2019,109.6851
8/1/2019,109.67954
9/1/2019,109.76547
10/1/2019,110.01642
11/1/2019,109.95742
12/1/2019,109.85738
1/1/2020,110.28361
2/1/2020,110.58585
3/1/2020,110.34517
4/1/2020,109.60729
5/1/2020,109.60943
6/1/2020,110.20922
7/1/2020,110.76669
8/1/2020,111.11596
