DATE,CPI_MC_NSA,CPI_MC_SA,CPI_NSA,CPI_SA,PPI_Drug,Market
1/1/2014,100,100,100,100,100,100
2/1/2014,100.73274,100.26698,100.36979,100.11008,101.66367,100
3/1/2014,100.8724,100.51676,101.01618,100.31451,102.47302,100
4/1/2014,101.03184,100.76072,101.3492,100.50151,102.02338,100
5/1/2014,101.22271,100.99375,101.70318,100.69277,103.23741,100
6/1/2014,101.33397,101.20887,101.89256,100.8258,102.51799,100
7/1/2014,101.46711,101.36631,101.8528,100.93927,100.53957,100
8/1/2014,101.43289,101.40748,101.68266,100.92312,101.1241,100.0007947
9/1/2014,101.61864,101.65167,101.75918,100.93035,98.78597,100.0002445
10/1/2014,101.72384,101.80679,101.50353,100.91037,98.42626,100.0056955
11/1/2014,102.0539,102.19052,100.95547,100.72039,100.80935,100
12/1/2014,102.35068,102.66867,100.38304,100.40971,101.39388,100.0868082
1/1/2015,102.6414,102.64239,99.91065,99.77007,101.03417,100.0088158
2/1/2015,103.06363,102.58425,100.34457,100.02295,97.07734,100
3/1/2015,103.35156,103.01264,100.94179,100.29241,94.46942,100
4/1/2015,103.96675,103.68219,101.14699,100.39696,92.08633,100
5/1/2015,104.09477,103.89638,101.66256,100.72804,90.01799,100
6/1/2015,103.87551,103.80033,102.01867,101.00685,90.24281,100.0188078
7/1/2015,103.99236,103.94522,102.02551,101.16708,92.71583,100.0319811
8/1/2015,103.93719,103.86591,101.88102,101.16666,92.89568,113.0305447
9/1/2015,104.11246,104.10685,101.72241,100.93927,94.55935,113.7289235
10/1/2015,104.75861,104.81222,101.67667,101.03915,87.45504,113.5710128
11/1/2015,105.0626,105.1713,101.46206,101.15986,97.21223,110.9873375
12/1/2015,104.99301,105.28921,101.11536,101.05105,95.36871,111.9512689
1/1/2016,105.71527,105.66526,101.28251,101.0791,95.68345,114.0721837
2/1/2016,106.67425,106.17225,101.36587,100.94607,87.85971,114.0778326
3/1/2016,106.7499,106.3983,101.80236,101.14838,89.97302,113.7099965
4/1/2016,107.06972,106.78529,102.28501,101.50751,88.53417,112.9338272
5/1/2016,107.35742,107.14344,102.69883,101.76465,87.32014,111.1992908
6/1/2016,107.5541,107.50461,103.03613,102.06385,91.5018,112.8498388
7/1/2016,108.04034,108.01904,102.86941,102.04983,89.20863,113.724979
8/1/2016,109.02144,108.95465,102.96388,102.25553,90.24281,111.4049079
9/1/2016,109.20183,109.24559,103.21141,102.45656,93.48022,109.5554853
10/1/2016,109.21952,109.27442,103.34009,102.7001,94.10971,109.0051727
11/1/2016,109.2435,109.34443,103.17935,102.8497,94.73921,109.5296847
12/1/2016,109.27003,109.53071,103.21312,103.15528,94.19964,108.974978
1/1/2017,109.79445,109.67932,103.81462,103.58242,91.86151,105.1440093
2/1/2017,110.45689,109.94444,104.14123,103.7146,85.92626,109.2734736
3/1/2017,110.46038,110.09514,104.22588,103.58412,83.94784,110.3808187
4/1/2017,110.23251,109.95979,104.53496,103.72735,84.39748,109.9661478
5/1/2017,110.21621,110.0063,104.62431,103.67125,84.75719,109.9848347
6/1/2017,110.4136,110.38701,104.71922,103.77877,84.6223,108.5352245
7/1/2017,110.82466,110.82097,104.64697,103.8421,84.21763,107.7307159
8/1/2017,110.9976,110.93261,104.96033,104.25691,84.80216,108.089047
9/1/2017,110.90822,110.98958,105.51608,104.74185,85.52158,107.2234243
10/1/2017,111.05626,111.10889,105.44939,104.79497,93.52518,106.500685
11/1/2017,111.07418,111.17005,105.45196,105.11926,95.86331,106.8666232
12/1/2017,111.21477,111.42401,105.38997,105.33771,95.77338,106.8027478
1/1/2018,111.97311,111.79565,105.96411,105.74955,92.13129,107.1199968
2/1/2018,112.4007,111.89379,106.44462,106.02963,84.48741,109.3999819
3/1/2018,112.65371,112.2745,106.68531,106.00328,84.6223,108.1375883
4/1/2018,112.66535,112.40195,107.10939,106.23449,85.07194,108.4085258
5/1/2018,112.85598,112.66846,107.55485,106.52477,86.24101,108.2363263
6/1/2018,113.12738,113.11568,107.72628,106.75258,86.24101,107.5697794
7/1/2018,112.93512,112.95289,107.73355,106.88263,84.93705,107.5114807
8/1/2018,112.69747,112.64335,107.7934,107.06241,87.94964,106.8163418
9/1/2018,112.82223,112.93149,107.91865,107.21371,86.3759,106.6122216
