Date,Wght_pct_change_y/y,
2014_01,0,100
2014_02,0,100
2014_03,0,100
2014_04,0,100
2014_05,0,100
2014_06,0,100
2014_07,,100
2014_08,7.95E-06,100.0007947
2014_09,2.45E-06,100.0002445
2014_10,5.70E-05,100.0056955
2014_11,0,100
2014_12,0.000868082,100.0868082
2015_01,8.82E-05,100.0088158
2015_02,0,100
2015_03,0,100
2015_04,0,100
2015_05,0,100
2015_06,0.000188078,100.0188078
2015_07,0.000319811,100.0319811
2015_08,0.130305447,113.0305447
2015_09,0.137289235,113.7289235
2015_10,0.135710128,113.5710128
2015_11,0.109873375,110.9873375
2015_12,0.119512689,111.9512689
2016_01,0.140721837,114.0721837
2016_02,0.140778326,114.0778326
2016_03,0.137099965,113.7099965
2016_04,0.129338272,112.9338272
2016_05,0.111992908,111.1992908
2016_06,0.128498388,112.8498388
2016_07,0.13724979,113.724979
2016_08,0.114049079,111.4049079
2016_09,0.095554853,109.5554853
2016_10,0.090051727,109.0051727
2016_11,0.095296847,109.5296847
2016_12,0.08974978,108.974978
2017_01,0.051440093,105.1440093
2017_02,0.092734736,109.2734736
2017_03,0.103808187,110.3808187
2017_04,0.099661478,109.9661478
2017_05,0.099848347,109.9848347
2017_06,0.085352245,108.5352245
2017_07,0.077307159,107.7307159
2017_08,0.08089047,108.089047
2017_09,0.072234243,107.2234243
2017_10,0.06500685,106.500685
2017_11,0.068666232,106.8666232
2017_12,0.068027478,106.8027478
2018_01,0.071199968,107.1199968
2018_02,0.093999819,109.3999819
2018_03,0.081375883,108.1375883
2018_04,0.084085258,108.4085258
2018_05,0.082363263,108.2363263
2018_06,0.075697794,107.5697794
2018_07,0.075114807,107.5114807
2018_08,0.068163418,106.8163418
2018_09,0.066122216,106.6122216
2018_10,0.053138972,105.3138972
2018_11,0.056808172,105.6808172
2018_12,0.058714998,105.8714998
2019_01,0.05653877,105.653877
2019_02,0.047848339,104.7848339
2019_03,0.051206424,105.1206424
2019_04,0.048328353,104.8328353
2019_05,0.048898578,104.8898578
2019_06,0.048532592,104.8532592
2019_07,0.048385916,104.8385916
2019_08,0.049334927,104.9334927
2019_09,0.049447287,104.9447287
2019_10,0.040324035,104.0324035
2019_11,0.042860302,104.2860302
2019_12,0.044068637,104.4068637
2020_01,0.044034997,104.4034997
2020_02,0.042762044,104.2762044
2020_03,0.044309684,104.4309684
2020_04,0.045040581,104.5040581
2020_05,0.043990587,104.3990587
2020_06,0.044582583,104.4582583
2020_07,0.046154751,104.6154751
