,row,column,corr
0,A.C.T.H.,A.C.T.H.,1.0
1,A.C.T.H.,ADHD,0.4453753354232804
2,A.C.T.H.,ALL OTHER RESPIRATORY,0.055139159369252885
3,A.C.T.H.,ALL OTHER THERAPEUTICS,0.24301828273519682
4,A.C.T.H.,ALL OTHER UROLOGICAL,0.21212155947585748
5,A.C.T.H.,"ALLERGY, SYSTEMIC & NASAL",0.1170065641556764
6,A.C.T.H.,ANTI-ALZHEIMERS,0.3810084277201764
7,A.C.T.H.,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",0.19514595998741704
8,A.C.T.H.,ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,0.16322081542114322
9,A.C.T.H.,"ANTI-OBESITY PREPS, EXCL. DIETETICS",0.212344894065619
10,A.C.T.H.,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",0.5166373712387374
11,A.C.T.H.,ANTI-ULCERANTS,0.5827227711681962
12,A.C.T.H.,ANTIBACTERIALS,0.45824618363905445
13,A.C.T.H.,ANTICOAGULANTS,0.5380827583866733
14,A.C.T.H.,ANTIDIABETICS,0.4107555553880857
15,A.C.T.H.,ANTIGOUT PREPS,-0.0022863728559443974
16,A.C.T.H.,"ANTIHYPERTENSIVES, PLAIN & COMBO",0.36429006363991284
17,A.C.T.H.,ANTITUBERCULARS,0.49449780890567907
18,A.C.T.H.,"ANTIVIRALS, HERPES",0.3382018429805663
19,A.C.T.H.,BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,-0.032009219983224084
20,A.C.T.H.,BLOOD COAGULATION,0.3652437562428725
21,A.C.T.H.,BPH (BENIGN PROSTATIC HYPERTROPHY),0.4165356405559242
22,A.C.T.H.,"CANCER DETOX AG, ANTI-NAUSEANTS",0.49287627528548394
23,A.C.T.H.,"CORTICOSTEROIDS, PLAIN & COMBO",0.571878391701409
24,A.C.T.H.,"COUGH COLD, INCL FLU ANTIVIRALS",0.05657332310391166
25,A.C.T.H.,DERMATOLOGICS,0.4578567580274296
26,A.C.T.H.,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,-0.006354363657751576
27,A.C.T.H.,DIETETICS,0.40657169902501533
28,A.C.T.H.,EAR TREATMENTS&EYE-EAR COMBOS,0.44081999851590675
29,A.C.T.H.,ERECTILE DYSFUNCTION,0.5679965860947631
30,A.C.T.H.,ERYTHROPOIETINS,0.3561406626475704
31,A.C.T.H.,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,0.3807171391622778
32,A.C.T.H.,GI PRODUCTS,0.42406079432220745
33,A.C.T.H.,GROWTH HORMONES,0.22589692313504203
34,A.C.T.H.,HEMATOPOIETIC GROWTH FACTORS,0.1476340987837699
35,A.C.T.H.,HIV ANTIVIRALS,0.4001716034220855
36,A.C.T.H.,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",0.4426722383299907
37,A.C.T.H.,HOSPITAL SOLUTIONS,-0.04562572738861049
38,A.C.T.H.,HYPOTHALAMIC HORMONES,0.4921810479078682
39,A.C.T.H.,IMMUNOLOGY,0.34106676311115136
40,A.C.T.H.,IMMUNOSUPPRESSANTS,0.4478641493249788
41,A.C.T.H.,"INTERFERONS, EXCL MS MARKET",0.10835077181138082
42,A.C.T.H.,J07D6 TUBERCULOSIS VACCINES,-0.061744866320733886
43,A.C.T.H.,LABOUR INDUCERS,-0.07828403263494459
44,A.C.T.H.,LIPID REGULATORS,0.5217441358058202
45,A.C.T.H.,MENTAL HEALTH,0.49209840950210176
46,A.C.T.H.,MIOTICS+ANTIGLAUCOMA PREPS,0.4440975028832735
47,A.C.T.H.,MULTIPLE SCLEROSIS,0.35260976576274405
48,A.C.T.H.,"NASAL PREPS, TOPICAL",0.06229265392491716
49,A.C.T.H.,NERVOUS SYSTEM DISORDERS,0.4301311073498501
50,A.C.T.H.,OCULAR ANTINEOVASCULARISATION,-0.04562572738861039
51,A.C.T.H.,ONCOLOGICS,0.521896829199543
52,A.C.T.H.,"OPHTHALMOLOGY, GENERAL",0.4854575319543745
53,A.C.T.H.,OSTEOPOROSIS,0.38613347721947383
54,A.C.T.H.,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,-0.00939438286941252
55,A.C.T.H.,OTHER CARDIOVASCULARS,0.44073454074436885
56,A.C.T.H.,OTHER CNS,0.558934632915017
57,A.C.T.H.,OTHER HAEMATOLOGICALS,0.1327243787450465
58,A.C.T.H.,OTHER HORMONES,0.03550946598835398
59,A.C.T.H.,OTHER WOMEN'S HEALTH,0.3167936684937726
60,A.C.T.H.,PAIN,0.4719626483640705
61,A.C.T.H.,POLYVAL IMMUNOGLOBLULINS IV&IM,0.47026997156298045
62,A.C.T.H.,RESP ANTIVIRALS EX FLU,-0.040996003084539316
63,A.C.T.H.,RESPIRATORY AGENTS,0.4711241690782267
64,A.C.T.H.,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",0.5550802828960387
65,A.C.T.H.,SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,-0.047946330148538434
66,A.C.T.H.,SYST ANTIFUNGALS,0.3679554184975109
67,A.C.T.H.,THROMBOPOIETIN AGONISTS,0.4585359345604213
68,A.C.T.H.,THYROID ANTI-THYROID AND IODINE PREPS,0.30553334659062964
69,A.C.T.H.,URINARY INCONTINENCE,0.3812982278106841
70,A.C.T.H.,"VACCINES (PURE, COMB, OTHER)",0.16820923171583038
71,A.C.T.H.,VIRAL HEPATITIS,0.672942471394846
72,A.C.T.H.,VITAMINS & MINERALS,-0.05827010890506897
73,ADHD,A.C.T.H.,0.4453753354232804
74,ADHD,ADHD,1.0
75,ADHD,ALL OTHER RESPIRATORY,0.12409687145585237
76,ADHD,ALL OTHER THERAPEUTICS,0.6553328589156391
77,ADHD,ALL OTHER UROLOGICAL,0.4214424970531634
78,ADHD,"ALLERGY, SYSTEMIC & NASAL",0.5556330115483588
79,ADHD,ANTI-ALZHEIMERS,0.7673482546153374
80,ADHD,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",0.15646992878038526
81,ADHD,ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,0.11187249234388177
82,ADHD,"ANTI-OBESITY PREPS, EXCL. DIETETICS",0.3904399903984006
83,ADHD,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",0.7521289735043111
84,ADHD,ANTI-ULCERANTS,0.6990591760523381
85,ADHD,ANTIBACTERIALS,0.7907508229101673
86,ADHD,ANTICOAGULANTS,0.8819354721663828
87,ADHD,ANTIDIABETICS,0.702515955528828
88,ADHD,ANTIGOUT PREPS,0.3961343384857504
