,row,column,corr
0,A.C.T.H.,A.C.T.H.,1.0
1,A.C.T.H.,A05A1 CHOLERETICS+CHOLEKINETIC,0.3125601761073376
2,A.C.T.H.,ADHD,0.7126688881211016
3,A.C.T.H.,ALL OTHER RESPIRATORY,-0.5434374351657142
4,A.C.T.H.,ALL OTHER THERAPEUTICS,0.7981290089389887
5,A.C.T.H.,ALL OTHER UROLOGICAL,0.8724310495619946
6,A.C.T.H.,"ALLERGY, SYSTEMIC & NASAL",0.5155454122906407
7,A.C.T.H.,ANTI-ALZHEIMERS,0.5737503963443705
8,A.C.T.H.,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",0.5183584477708874
9,A.C.T.H.,ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,-0.056005620333753406
10,A.C.T.H.,"ANTI-OBESITY PREPS, EXCL. DIETETICS",-0.5758721026309601
11,A.C.T.H.,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",0.7079240280975339
12,A.C.T.H.,ANTI-ULCERANTS,0.5626229700388822
13,A.C.T.H.,ANTIBACTERIALS,0.6024320535257661
14,A.C.T.H.,ANTICOAGULANTS,-0.6142383421771355
15,A.C.T.H.,ANTIDIABETICS,-0.28683777091463997
16,A.C.T.H.,ANTIGOUT PREPS,0.5180145148592085
17,A.C.T.H.,"ANTIHYPERTENSIVES, PLAIN & COMBO",0.5996617846229684
18,A.C.T.H.,ANTITUBERCULARS,-0.5187989111828736
19,A.C.T.H.,"ANTIVIRALS, HERPES",0.5029073306070604
20,A.C.T.H.,BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,0.46006371099694665
21,A.C.T.H.,BLOOD COAGULATION,0.6182706236318639
22,A.C.T.H.,BPH (BENIGN PROSTATIC HYPERTROPHY),0.42845522121568275
23,A.C.T.H.,"CANCER DETOX AG, ANTI-NAUSEANTS",0.6189727518921389
24,A.C.T.H.,"CORTICOSTEROIDS, PLAIN & COMBO",0.7845552567244635
25,A.C.T.H.,"COUGH COLD, INCL FLU ANTIVIRALS",0.1941280090762131
26,A.C.T.H.,DERMATOLOGICS,0.7450368467886983
27,A.C.T.H.,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,-0.23041233868886163
28,A.C.T.H.,DIETETICS,-0.06549980580815544
29,A.C.T.H.,EAR TREATMENTS&EYE-EAR COMBOS,0.7038562395261837
30,A.C.T.H.,ERECTILE DYSFUNCTION,0.7484138323344122
31,A.C.T.H.,ERYTHROPOIETINS,0.5966100095420821
32,A.C.T.H.,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,-0.22826882008297955
33,A.C.T.H.,GI PRODUCTS,-0.4346631163479447
34,A.C.T.H.,GROWTH HORMONES,-0.6476966343957274
