,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.03571428571428571,41.0
2014-10-01,0.14285714285714285,165.0
2014-11-01,0.06896551724137931,80.0
2014-12-01,0.034482758620689655,40.0
2015-01-01,0.4482758620689655,519.0
2015-02-01,0.1875,217.0
2015-03-01,0.09375,108.0
2015-04-01,0.15625,181.0
2015-05-01,0.030303030303030304,35.0
2015-06-01,0.14705882352941177,170.0
2015-07-01,0.029411764705882353,34.0
2015-08-01,0.029411764705882353,34.0
2015-09-01,0.11764705882352941,136.0
2015-10-01,0.058823529411764705,68.0
2015-11-01,0.0,0.0
2015-12-01,0.0,0.0
2016-01-01,0.5365853658536586,621.0
2016-02-01,0.0,0.0
2016-03-01,0.0,0.0
2016-04-01,0.06818181818181818,79.0
2016-05-01,0.0,0.0
2016-06-01,0.1956521739130435,226.0
2016-07-01,0.10416666666666667,121.0
2016-08-01,0.0,0.0
2016-09-01,0.02040816326530612,24.0
2016-10-01,0.10416666666666667,121.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.041666666666666664,48.0
2017-02-01,0.4782608695652174,553.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.08163265306122448,94.0
2017-06-01,0.0,0.0
2017-07-01,0.1,116.0
2017-08-01,0.04,46.0
2017-09-01,0.0,0.0
2017-10-01,0.04,46.0
2017-11-01,0.16,185.0
2017-12-01,0.0,0.0
2018-01-01,0.12,139.0
2018-02-01,0.43137254901960786,499.0
2018-03-01,0.0196078431372549,23.0
2018-04-01,0.0,0.0
2018-05-01,0.06,69.0
2018-06-01,0.0,0.0
2018-07-01,0.0,0.0
2018-08-01,0.038461538461538464,44.0
2018-09-01,0.0,0.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.0,0.0
2019-01-01,0.0,0.0
2019-02-01,0.4074074074074074,471.0
2019-03-01,0.0,0.0
2019-04-01,0.0,0.0
2019-05-01,0.0,0.0
2019-06-01,0.0,0.0
2019-07-01,0.03571428571428571,41.0
2019-08-01,0.017857142857142856,21.0
2019-09-01,0.03571428571428571,41.0
2019-10-01,0.0,0.0
2019-11-01,0.0,0.0
2019-12-01,0.0,0.0
2020-01-01,0.0,0.0
2020-02-01,0.44642857142857145,517.0
2020-03-01,0.0,0.0
2020-04-01,0.017857142857142856,21.0
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.32,370.0
2020-10-01,0.0,0.0
2020-11-01,0.0,0.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.68,787.0
2021-03-01,0.0,0.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
