,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.2727272727272727,157.0
2014-10-01,0.2,115.0
2014-11-01,0.0625,36.0
2014-12-01,0.125,72.0
2015-01-01,0.11764705882352941,68.0
2015-02-01,0.058823529411764705,34.0
2015-03-01,0.5882352941176471,339.0
2015-04-01,0.05,29.0
2015-05-01,0.0,0.0
2015-06-01,0.0,0.0
2015-07-01,0.05,29.0
2015-08-01,0.7,404.0
2015-09-01,0.1,58.0
2015-10-01,0.05,29.0
2015-11-01,0.0,0.0
2015-12-01,0.65,375.0
2016-01-01,0.2,115.0
2016-02-01,0.1,58.0
2016-03-01,0.0,0.0
2016-04-01,0.0,0.0
2016-05-01,0.7,404.0
2016-06-01,0.05,29.0
2016-07-01,0.05,29.0
2016-08-01,0.0,0.0
2016-09-01,0.0,0.0
2016-10-01,0.09523809523809523,55.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.0,0.0
2017-02-01,0.6190476190476191,357.0
2017-03-01,0.14285714285714285,82.0
2017-04-01,0.0,0.0
2017-05-01,0.0,0.0
2017-06-01,0.0,0.0
2017-07-01,0.0,0.0
2017-08-01,0.15789473684210525,91.0
2017-09-01,0.0,0.0
2017-10-01,0.10526315789473684,61.0
2017-11-01,0.0,0.0
2017-12-01,0.0,0.0
2018-01-01,0.0,0.0
2018-02-01,0.7368421052631579,425.0
2018-03-01,0.10526315789473684,61.0
2018-04-01,0.0,0.0
2018-05-01,0.0,0.0
2018-06-01,0.0,0.0
2018-07-01,0.05263157894736842,30.0
2018-08-01,0.05263157894736842,30.0
2018-09-01,0.0,0.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.0,0.0
2019-01-01,0.0,0.0
2019-02-01,0.7777777777777778,449.0
2019-03-01,0.05555555555555555,32.0
2019-04-01,0.0,0.0
2019-05-01,0.0,0.0
2019-06-01,0.0,0.0
2019-07-01,0.0,0.0
2019-08-01,0.16666666666666666,96.0
2019-09-01,0.0,0.0
2019-10-01,0.0,0.0
2019-11-01,0.047619047619047616,27.0
2019-12-01,0.0,0.0
2020-01-01,0.0,0.0
2020-02-01,0.8571428571428571,495.0
2020-03-01,0.0,0.0
2020-04-01,0.0,0.0
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.0,0.0
2020-10-01,0.0,0.0
2020-11-01,0.125,72.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.875,505.0
2021-03-01,0.0,0.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
