,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.020833333333333332,116.0
2014-10-01,0.015625,87.0
2014-11-01,0.031088082901554404,172.0
2014-12-01,0.015544041450777202,86.0
2015-01-01,0.917098445595855,5085.0
2015-02-01,0.02072538860103627,115.0
2015-03-01,0.015544041450777202,86.0
2015-04-01,0.010362694300518135,57.0
2015-05-01,0.0,0.0
2015-06-01,0.14507772020725387,804.0
2015-07-01,0.27979274611398963,1551.0
2015-08-01,0.0,0.0
2015-09-01,0.010309278350515464,57.0
2015-10-01,0.02577319587628866,143.0
2015-11-01,0.0,0.0
2015-12-01,0.07216494845360824,400.0
2016-01-01,0.788659793814433,4373.0
2016-02-01,0.0,0.0
2016-03-01,0.015463917525773196,86.0
2016-04-01,0.05670103092783505,314.0
2016-05-01,0.0,0.0
2016-06-01,0.12315270935960591,683.0
2016-07-01,0.13658536585365855,757.0
2016-08-01,0.0,0.0
2016-09-01,0.02926829268292683,162.0
2016-10-01,0.024390243902439025,135.0
2016-11-01,0.0,0.0
2016-12-01,0.06829268292682927,379.0
2017-01-01,0.00975609756097561,54.0
2017-02-01,0.6195121951219512,3435.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.1262135922330097,700.0
2017-06-01,0.0,0.0
2017-07-01,0.18048780487804877,1001.0
2017-08-01,0.09090909090909091,504.0
2017-09-01,0.03333333333333333,185.0
2017-10-01,0.028846153846153848,160.0
2017-11-01,0.004830917874396135,27.0
2017-12-01,0.004807692307692308,27.0
2018-01-01,0.1262135922330097,700.0
2018-02-01,0.7184466019417476,3984.0
2018-03-01,0.004901960784313725,27.0
2018-04-01,0.0,0.0
2018-05-01,0.0,0.0
2018-06-01,0.0,0.0
2018-07-01,0.014492753623188406,80.0
2018-08-01,0.004901960784313725,27.0
2018-09-01,0.0,0.0
2018-10-01,0.014778325123152709,82.0
2018-11-01,0.04433497536945813,246.0
2018-12-01,0.0,0.0
2019-01-01,0.034482758620689655,191.0
2019-02-01,0.5544554455445545,3074.0
2019-03-01,0.04433497536945813,246.0
2019-04-01,0.01485148514851485,82.0
2019-05-01,0.0,0.0
2019-06-01,0.004901960784313725,27.0
2019-07-01,0.019704433497536946,109.0
2019-08-01,0.0,0.0
2019-09-01,0.004975124378109453,28.0
2019-10-01,0.0,0.0
2019-11-01,0.035175879396984924,195.0
2019-12-01,0.0,0.0
2020-01-01,0.0,0.0
2020-02-01,0.6717948717948717,3725.0
2020-03-01,0.010256410256410256,57.0
2020-04-01,0.0051813471502590676,29.0
2020-05-01,0.005208333333333333,29.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.189873417721519,1053.0
2020-10-01,0.0,0.0
2020-11-01,0.0,0.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.7341772151898734,4071.0
2021-03-01,0.0759493670886076,421.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
