,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.125,867.0
2014-10-01,0.13690476190476192,950.0
2014-11-01,0.0,0.0
2014-12-01,0.16279069767441862,1130.0
2015-01-01,0.3872832369942196,2687.0
2015-02-01,0.022099447513812154,153.0
2015-03-01,0.15934065934065933,1106.0
2015-04-01,0.08196721311475409,569.0
2015-05-01,0.0273224043715847,190.0
2015-06-01,0.18181818181818182,1262.0
2015-07-01,0.1693121693121693,1175.0
2015-08-01,0.005291005291005291,37.0
2015-09-01,0.07368421052631578,511.0
2015-10-01,0.16751269035532995,1162.0
2015-11-01,0.009615384615384616,67.0
2015-12-01,0.10952380952380952,760.0
2016-01-01,0.34418604651162793,2388.0
2016-02-01,0.027777777777777776,193.0
2016-03-01,0.14746543778801843,1023.0
2016-04-01,0.11894273127753303,825.0
2016-05-01,0.017316017316017316,120.0
2016-06-01,0.12121212121212122,841.0
2016-07-01,0.16379310344827586,1137.0
2016-08-01,0.08583690987124463,596.0
2016-09-01,0.08547008547008547,593.0
2016-10-01,0.08547008547008547,593.0
2016-11-01,0.01282051282051282,89.0
2016-12-01,0.07692307692307693,534.0
2017-01-01,0.0,0.0
2017-02-01,0.4090909090909091,2839.0
2017-03-01,0.029045643153526972,202.0
2017-04-01,0.04065040650406504,282.0
2017-05-01,0.16733067729083664,1161.0
2017-06-01,0.023529411764705882,163.0
2017-07-01,0.1576923076923077,1094.0
2017-08-01,0.16030534351145037,1112.0
2017-09-01,0.011406844106463879,79.0
2017-10-01,0.03759398496240601,261.0
2017-11-01,0.12867647058823528,893.0
2017-12-01,0.007194244604316547,50.0
2018-01-01,0.10676156583629894,741.0
2018-02-01,0.45,3123.0
2018-03-01,0.014285714285714285,99.0
2018-04-01,0.0673758865248227,468.0
2018-05-01,0.04529616724738676,314.0
2018-06-01,0.017241379310344827,120.0
2018-07-01,0.044673539518900345,310.0
2018-08-01,0.11379310344827587,790.0
2018-09-01,0.02054794520547945,143.0
2018-10-01,0.030508474576271188,212.0
2018-11-01,0.006779661016949152,47.0
2018-12-01,0.013422818791946308,93.0
2019-01-01,0.07666666666666666,532.0
2019-02-01,0.3848684210526316,2671.0
2019-03-01,0.10097719869706841,701.0
2019-04-01,0.022950819672131147,159.0
2019-05-01,0.06514657980456026,452.0
2019-06-01,0.003246753246753247,23.0
2019-07-01,0.054140127388535034,376.0
2019-08-01,0.15434083601286175,1071.0
2019-09-01,0.006349206349206349,44.0
2019-10-01,0.006211180124223602,43.0
2019-11-01,0.042682926829268296,296.0
2019-12-01,0.01818181818181818,126.0
2020-01-01,0.012084592145015106,84.0
2020-02-01,0.5757575757575758,3995.0
2020-03-01,0.012012012012012012,83.0
2020-04-01,0.02702702702702703,188.0
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.125,867.0
2020-10-01,0.0,0.0
2020-11-01,0.041666666666666664,289.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.825,5725.0
2021-03-01,0.0,0.0
2021-04-01,0.008333333333333333,58.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
