,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.0,0.0
2014-10-01,0.05,64.0
2014-11-01,0.0,0.0
2014-12-01,0.0,0.0
2015-01-01,0.9,1156.0
2015-02-01,0.0,0.0
2015-03-01,0.0,0.0
2015-04-01,0.1,128.0
2015-05-01,0.2,257.0
2015-06-01,0.05,64.0
2015-07-01,0.4,514.0
2015-08-01,0.0,0.0
2015-09-01,0.0,0.0
2015-10-01,0.0,0.0
2015-11-01,0.0,0.0
2015-12-01,0.0,0.0
2016-01-01,0.3,386.0
2016-02-01,0.0,0.0
2016-03-01,0.0,0.0
2016-04-01,0.0,0.0
2016-05-01,0.0,0.0
2016-06-01,0.05,64.0
2016-07-01,0.0,0.0
2016-08-01,0.0,0.0
2016-09-01,0.0,0.0
2016-10-01,0.0,0.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.0,0.0
2017-02-01,0.8571428571428571,1101.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.0,0.0
2017-06-01,0.0,0.0
2017-07-01,0.09523809523809523,122.0
2017-08-01,0.09090909090909091,117.0
2017-09-01,0.0,0.0
2017-10-01,0.0,0.0
2017-11-01,0.0,0.0
2017-12-01,0.0,0.0
2018-01-01,0.0,0.0
2018-02-01,0.9090909090909091,1168.0
2018-03-01,0.0,0.0
2018-04-01,0.0,0.0
2018-05-01,0.0,0.0
2018-06-01,0.0,0.0
2018-07-01,0.0,0.0
2018-08-01,0.0,0.0
2018-09-01,0.0,0.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.0,0.0
2019-01-01,0.0,0.0
2019-02-01,0.35,450.0
2019-03-01,0.1,128.0
2019-04-01,0.0,0.0
2019-05-01,0.05,64.0
2019-06-01,0.0,0.0
2019-07-01,0.0,0.0
2019-08-01,0.0,0.0
2019-09-01,0.0,0.0
2019-10-01,0.0,0.0
2019-11-01,0.0,0.0
2019-12-01,0.0,0.0
2020-01-01,0.09523809523809523,122.0
2020-02-01,0.38095238095238093,490.0
2020-03-01,0.0,0.0
2020-04-01,0.0,0.0
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.3181818181818182,409.0
2020-10-01,0.0,0.0
2020-11-01,0.045454545454545456,58.0
2020-12-01,0.0,0.0
2021-01-01,0.09090909090909091,117.0
2021-02-01,0.5454545454545454,701.0
2021-03-01,0.0,0.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
