,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.0,0.0
2014-10-01,0.2571428571428571,316.0
2014-11-01,0.07142857142857142,88.0
2014-12-01,0.1282051282051282,157.0
2015-01-01,0.47435897435897434,582.0
2015-02-01,0.01282051282051282,16.0
2015-03-01,0.0641025641025641,79.0
2015-04-01,0.15384615384615385,189.0
2015-05-01,0.0641025641025641,79.0
2015-06-01,0.26582278481012656,326.0
2015-07-01,0.0125,15.0
2015-08-01,0.1125,138.0
2015-09-01,0.0,0.0
2015-10-01,0.1625,199.0
2015-11-01,0.0,0.0
2015-12-01,0.0,0.0
2016-01-01,0.6790123456790124,833.0
2016-02-01,0.012345679012345678,15.0
2016-03-01,0.04878048780487805,60.0
2016-04-01,0.0975609756097561,120.0
2016-05-01,0.0,0.0
2016-06-01,0.23170731707317074,284.0
2016-07-01,0.06097560975609756,75.0
2016-08-01,0.0,0.0
2016-09-01,0.0,0.0
2016-10-01,0.04878048780487805,60.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.0,0.0
2017-02-01,0.6585365853658537,808.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.0975609756097561,120.0
2017-06-01,0.012195121951219513,15.0
2017-07-01,0.20930232558139536,257.0
2017-08-01,0.011627906976744186,14.0
2017-09-01,0.0,0.0
2017-10-01,0.0,0.0
2017-11-01,0.011363636363636364,14.0
2017-12-01,0.011235955056179775,14.0
2018-01-01,0.011363636363636364,14.0
2018-02-01,0.6292134831460674,772.0
2018-03-01,0.0,0.0
2018-04-01,0.022222222222222223,27.0
2018-05-01,0.0,0.0
2018-06-01,0.0,0.0
2018-07-01,0.06666666666666667,82.0
2018-08-01,0.0,0.0
2018-09-01,0.011235955056179775,14.0
2018-10-01,0.02197802197802198,27.0
2018-11-01,0.0,0.0
2018-12-01,0.010752688172043012,13.0
2019-01-01,0.031914893617021274,39.0
2019-02-01,0.46808510638297873,574.0
2019-03-01,0.031578947368421054,39.0
2019-04-01,0.0,0.0
2019-05-01,0.010638297872340425,13.0
2019-06-01,0.05263157894736842,65.0
2019-07-01,0.010309278350515464,13.0
2019-08-01,0.02040816326530612,25.0
2019-09-01,0.0,0.0
2019-10-01,0.0,0.0
2019-11-01,0.020618556701030927,25.0
2019-12-01,0.04081632653061224,50.0
2020-01-01,0.019801980198019802,24.0
2020-02-01,0.5102040816326531,626.0
2020-03-01,0.030303030303030304,37.0
2020-04-01,0.0,0.0
2020-05-01,0.01020408163265306,13.0
2020-06-01,0.01020408163265306,13.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.043478260869565216,53.0
2020-10-01,0.0,0.0
2020-11-01,0.0,0.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.6086956521739131,747.0
2021-03-01,0.2608695652173913,320.0
2021-04-01,0.0,0.0
2021-05-01,0.08695652173913043,107.0
2021-06-01,0.0,0.0
