date,yhat,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
2015-01-01,240.61358111067682,237.61153819713962,229.20596083908782,252.14206463373193,237.61153819713962,237.61153819713962,3.002042913537196,3.002042913537196,3.002042913537196,3.002042913537196,3.002042913537196,3.002042913537196,0.0,0.0,0.0
2015-02-01,240.02698189751572,238.2358225157735,229.4016097257283,251.46238322359514,238.2358225157735,238.2358225157735,1.7911593817422395,1.7911593817422395,1.7911593817422395,1.7911593817422395,1.7911593817422395,1.7911593817422395,0.0,0.0,0.0
2015-03-01,234.83032033247494,238.79969222292664,223.30634703400864,246.71879712916922,238.79969222292664,238.79969222292664,-3.9693718904516895,-3.9693718904516895,-3.9693718904516895,-3.9693718904516895,-3.9693718904516895,-3.9693718904516895,0.0,0.0,0.0
2015-04-01,226.81932599374812,239.42397654817103,214.87574160334552,239.1186935084525,239.42397654817103,239.42397654817103,-12.60465055442291,-12.60465055442291,-12.60465055442291,-12.60465055442291,-12.60465055442291,-12.60465055442291,0.0,0.0,0.0
2015-05-01,216.93187444663846,240.02812266937525,206.1145298768357,227.99984694098993,240.02812266937525,240.02812266937525,-23.096248222736797,-23.096248222736797,-23.096248222736797,-23.096248222736797,-23.096248222736797,-23.096248222736797,0.0,0.0,0.0
2015-06-01,216.65702849259674,240.65240699214652,204.0080449705566,228.26622765569994,240.65240699214652,240.65240699214652,-23.99537849954978,-23.99537849954978,-23.99537849954978,-23.99537849954978,-23.99537849954978,-23.99537849954978,0.0,0.0,0.0
2015-07-01,212.06728270034688,241.25655311095744,199.7685655451953,223.60388479164095,241.25655311095744,241.25655311095744,-29.189270410610547,-29.189270410610547,-29.189270410610547,-29.189270410610547,-29.189270410610547,-29.189270410610547,0.0,0.0,0.0
2015-08-01,225.14016977744703,241.8792439854783,213.005016624913,236.83915781903218,241.8792439854783,241.8792439854783,-16.739074208031266,-16.739074208031266,-16.739074208031266,-16.739074208031266,-16.739074208031266,-16.739074208031266,0.0,0.0,0.0
2015-09-01,262.47243498080223,242.50193485999918,250.22507622151127,274.33650055769226,242.50193485999918,242.50193485999918,19.970500120803067,19.970500120803067,19.970500120803067,19.970500120803067,19.970500120803067,19.970500120803067,0.0,0.0,0.0
2015-10-01,274.78064966620053,243.10451064424194,263.1908728460703,286.74156476577286,243.10451064424194,243.10451064424194,31.676139021958594,31.676139021958594,31.676139021958594,31.676139021958594,31.676139021958594,31.676139021958594,0.0,0.0,0.0
2015-11-01,269.59759990777104,243.7271722879595,257.030538868887,281.8016996900937,243.7271722879595,243.7271722879595,25.870427619811554,25.870427619811554,25.870427619811554,25.870427619811554,25.870427619811554,25.870427619811554,0.0,0.0,0.0
2015-12-01,257.0664597228165,244.32925629473695,244.95875227728368,268.4891054753712,244.32925629473695,244.32925629473695,12.73720342807955,12.73720342807955,12.73720342807955,12.73720342807955,12.73720342807955,12.73720342807955,0.0,0.0,0.0
2016-01-01,245.22889144185092,244.95140976840702,233.1708711847557,256.87163561265555,244.95140976840702,244.95140976840702,0.2774816734438957,0.2774816734438957,0.2774816734438957,0.2774816734438957,0.2774816734438957,0.2774816734438957,0.0,0.0,0.0
2016-02-01,249.5560087149374,245.5712105278051,237.00922144443595,261.72277632161024,245.5712105278051,245.5712105278051,3.9847981871322924,3.9847981871322924,3.9847981871322924,3.9847981871322924,3.9847981871322924,3.9847981871322924,0.0,0.0,0.0
2016-03-01,248.40712895474365,246.15102414143564,235.62041699137055,261.0279027409184,246.15102414143564,246.15102414143564,2.2561048133080153,2.2561048133080153,2.2561048133080153,2.2561048133080153,2.2561048133080153,2.2561048133080153,0.0,0.0,0.0
2016-04-01,227.71312439272072,246.77082490083373,215.5833992489725,239.42485819866528,246.77082490083373,246.77082490083373,-19.057700508113015,-19.057700508113015,-19.057700508113015,-19.057700508113015,-19.057700508113015,-19.057700508113015,0.0,0.0,0.0
2016-05-01,219.53464047877145,247.14104173949892,207.96898889034375,231.20099851587563,247.14104173949892,247.14104173949892,-27.606401260727452,-27.606401260727452,-27.606401260727452,-27.606401260727452,-27.606401260727452,-27.606401260727452,0.0,0.0,0.0
2016-06-01,222.0800353544393,247.52359913945293,210.2001423338815,233.66187867112987,247.52359913945293,247.52359913945293,-25.44356378501362,-25.44356378501362,-25.44356378501362,-25.44356378501362,-25.44356378501362,-25.44356378501362,0.0,0.0,0.0
2016-07-01,228.28415817626833,247.89015669781213,216.69184486768773,239.47646678234173,247.89015669781213,247.89015669781213,-19.6059985215438,-19.6059985215438,-19.6059985215438,-19.6059985215438,-19.6059985215438,-19.6059985215438,0.0,0.0,0.0
2016-08-01,237.61157868660834,248.26893284144995,226.10502200610352,249.43764947645332,248.26893284144995,248.26893284144995,-10.65735415484162,-10.65735415484162,-10.65735415484162,-10.65735415484162,-10.65735415484162,-10.65735415484162,0.0,0.0,0.0
2016-09-01,265.1320499686819,248.64500134345803,252.38689594489418,276.9709655220867,248.64500134345803,248.64500134345803,16.487048625223853,16.487048625223853,16.487048625223853,16.487048625223853,16.487048625223853,16.487048625223853,0.0,0.0,0.0
2016-10-01,271.93450687873496,249.00893860346588,260.0862258057732,283.49033778634913,249.00893860346588,249.00893860346588,22.92556827526909,22.92556827526909,22.92556827526909,22.92556827526909,22.92556827526909,22.92556827526909,0.0,0.0,0.0
2016-11-01,274.4597825594293,249.3841575787515,262.7579822180425,286.13960481735194,249.3841575787515,249.3841575787515,25.075624980677794,25.075624980677794,25.075624980677794,25.075624980677794,25.075624980677794,25.075624980677794,0.0,0.0,0.0
2016-12-01,265.05900915749163,249.74727271612477,252.87097414434652,276.1571187055872,249.74727271612477,249.74727271612477,15.311736441366872,15.311736441366872,15.311736441366872,15.311736441366872,15.311736441366872,15.311736441366872,0.0,0.0,0.0
2017-01-01,258.66685350642973,250.11961493754077,246.41619316985083,269.8843810440034,250.11961493754077,250.11961493754077,8.547238568888933,8.547238568888933,8.547238568888933,8.547238568888933,8.547238568888933,8.547238568888933,0.0,0.0,0.0
2017-02-01,247.97614971436684,250.49195715895675,236.51180239868566,259.7335899336232,250.49195715895675,250.49195715895675,-2.5158074445899246,-2.5158074445899246,-2.5158074445899246,-2.5158074445899246,-2.5158074445899246,-2.5158074445899246,0.0,0.0,0.0
2017-03-01,250.98625040124847,250.82625351391553,239.01498231927943,263.0666222020235,250.8262535139155,250.8262535139155,0.15999688733293557,0.15999688733293557,0.15999688733293557,0.15999688733293557,0.15999688733293557,0.15999688733293557,0.0,0.0,0.0
2017-04-01,234.2438179631793,251.19636733547705,222.799495750093,246.71777483942762,251.19636733547705,251.19636733547705,-16.952549372297746,-16.952549372297746,-16.952549372297746,-16.952549372297746,-16.952549372297746,-16.952549372297746,0.0,0.0,0.0
2017-05-01,225.48660513899017,251.55360195509013,214.2675493615755,237.14026760344674,251.55360195509013,251.55360195509013,-26.066996816099955,-26.066996816099955,-26.066996816099955,-26.066996816099955,-26.066996816099955,-26.066996816099955,0.0,0.0,0.0
2017-06-01,227.04425700512076,251.92274439535697,214.5260396094172,238.85715817342142,251.92274439535697,251.92274439535697,-24.878487390236227,-24.878487390236227,-24.878487390236227,-24.878487390236227,-24.878487390236227,-24.878487390236227,0.0,0.0,0.0
2017-07-01,229.50278759899413,252.277238247584,217.31935858529255,240.90284767930982,252.277238247584,252.277238247584,-22.774450648589873,-22.774450648589873,-22.774450648589873,-22.774450648589873,-22.774450648589873,-22.774450648589873,0.0,0.0,0.0
2017-08-01,239.87776045510964,252.6435485615519,228.32715445048183,250.71685520003058,252.6435485615519,252.6435485615519,-12.76578810644228,-12.76578810644228,-12.76578810644228,-12.76578810644228,-12.76578810644228,-12.76578810644228,0.0,0.0,0.0
2017-09-01,270.571987673639,253.0076755176878,259.32469817739434,282.66514766204864,253.0076755176878,253.0076755176878,17.564312155951228,17.564312155951228,17.564312155951228,17.564312155951228,17.564312155951228,17.564312155951228,0.0,0.0,0.0
2017-10-01,279.21694915819404,253.36005644298064,267.16287165632457,291.65149546257487,253.36005644298064,253.36005644298064,25.856892715213394,25.856892715213394,25.856892715213394,25.856892715213394,25.856892715213394,25.856892715213394,0.0,0.0,0.0
2017-11-01,279.1358355282846,253.72362621897156,268.4436024073293,291.598103512717,253.72362621897156,253.72362621897156,25.412209309313035,25.412209309313035,25.412209309313035,25.412209309313035,25.412209309313035,25.412209309313035,0.0,0.0,0.0
2017-12-01,268.5803798063434,254.0754679376725,257.2464409403894,279.29080837391075,254.0754679376725,254.0754679376725,14.50491186867089,14.50491186867089,14.50491186867089,14.50491186867089,14.50491186867089,14.50491186867089,0.0,0.0,0.0
2018-01-01,260.19699091346706,254.4373158291218,248.07946168145665,271.9320762294278,254.4373158291218,254.4373158291218,5.75967508434528,5.75967508434528,5.75967508434528,5.75967508434528,5.75967508434528,5.75967508434528,0.0,0.0,0.0
2018-02-01,254.4230922517364,254.7991637205711,242.86388593499223,266.73693532956236,254.79916372057107,254.79916372057107,-0.37607146883469716,-0.37607146883469716,-0.37607146883469716,-0.37607146883469716,-0.37607146883469716,-0.37607146883469716,0.0,0.0,0.0
2018-03-01,253.15457484555873,255.07017541623912,241.30618719251217,265.4544239891829,255.07017541623912,255.07017541623912,-1.9156005706803967,-1.9156005706803967,-1.9156005706803967,-1.9156005706803967,-1.9156005706803967,-1.9156005706803967,0.0,0.0,0.0
2018-04-01,240.56949341370785,255.37022407930016,228.94187751642303,252.45451819898486,255.37022407930016,255.37022407930016,-14.800730665592326,-14.800730665592326,-14.800730665592326,-14.800730665592326,-14.800730665592326,-14.800730665592326,0.0,0.0,0.0
2018-05-01,231.097786516199,255.6605937532302,219.6413095296415,243.05079167656436,255.6605937532302,255.6605937532302,-24.56280723703118,-24.56280723703118,-24.56280723703118,-24.56280723703118,-24.56280723703118,-24.56280723703118,0.0,0.0,0.0
