Date,A.C.T.H.,A05A1 CHOLERETICS+CHOLEKINETIC,ADHD,ALL OTHER RESPIRATORY,ALL OTHER THERAPEUTICS,ALL OTHER UROLOGICAL,"ALLERGY, SYSTEMIC & NASAL",ANTI-ALZHEIMERS,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,"ANTI-OBESITY PREPS, EXCL. DIETETICS","ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ANTI-ULCERANTS,ANTIBACTERIALS,ANTICOAGULANTS,ANTIDIABETICS,ANTIGOUT PREPS,"ANTIHYPERTENSIVES, PLAIN & COMBO",ANTITUBERCULARS,"ANTIVIRALS, HERPES",BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,BLOOD COAGULATION,BPH (BENIGN PROSTATIC HYPERTROPHY),"CANCER DETOX AG, ANTI-NAUSEANTS","CORTICOSTEROIDS, PLAIN & COMBO","COUGH COLD, INCL FLU ANTIVIRALS",DERMATOLOGICS,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,DIETETICS,EAR TREATMENTS&EYE-EAR COMBOS,ERECTILE DYSFUNCTION,ERYTHROPOIETINS,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,GI PRODUCTS,GROWTH HORMONES,HEMATOPOIETIC GROWTH FACTORS,HIV ANTIVIRALS,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",HOSPITAL SOLUTIONS,HYPOTHALAMIC HORMONES,IMAGING,IMMUNOLOGY,IMMUNOSUPPRESSANTS,"INTERFERONS, EXCL MS MARKET",J07D6 TUBERCULOSIS VACCINES,LABOUR INDUCERS,LIPID REGULATORS,MENTAL HEALTH,MIOTICS+ANTIGLAUCOMA PREPS,MULTIPLE SCLEROSIS,"NASAL PREPS, TOPICAL",NERVOUS SYSTEM DISORDERS,OCULAR ANTINEOVASCULARISATION,ONCOLOGICS,"OPHTHALMOLOGY, GENERAL",OSTEOPOROSIS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER CARDIOVASCULARS,OTHER CNS,OTHER HAEMATOLOGICALS,OTHER HORMONES,OTHER WOMEN'S HEALTH,PAIN,POLYVAL IMMUNOGLOBLULINS IV&IM,RESP ANTIVIRALS EX FLU,RESPIRATORY AGENTS,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,SYST ANTIFUNGALS,THROMBOPOIETIN AGONISTS,THYROID ANTI-THYROID AND IODINE PREPS,URINARY INCONTINENCE,"VACCINES (PURE, COMB, OTHER)",VIRAL HEPATITIS,VITAMINS & MINERALS
2014_08,2590.0,,1419308.0,559.0,77731.0,34008.0,80851.0,927023.0,4740.0,78288.0,3932.0,62426.0,1996939.0,90575.0,1271426.0,5638542.0,107010.0,3044789.0,798.0,24119.0,6.0,19686.0,314771.0,8852.0,13953.0,21010.0,391941.0,549.0,928.0,13664.0,1315715.0,40785.0,9582.0,422602.0,85.0,9656.0,797237.0,1152763.0,24.0,11090.0,0.0,397967.0,89964.0,992.0,209.0,21.0,3071879.0,1926355.0,921158.0,137864.0,705118.0,1293536.0,1710.0,121941.0,992781.0,118613.0,2069.0,280774.0,832928.0,660.0,817.0,,1893608.0,,,5803135.0,705004.0,,5788.0,155.0,1871470.0,543747.0,273977.0,61659.0,1052.0
2014_09,2865.0,,1479415.0,617.0,75847.0,34105.0,84698.0,947541.0,4665.0,80983.0,4000.0,66595.0,2001919.0,100744.0,1288944.0,5716769.0,108407.0,3027951.0,793.0,24012.0,9.0,20820.0,316585.0,8866.0,15068.0,52444.0,378003.0,516.0,1033.0,11228.0,1272214.0,39814.0,9632.0,436890.0,87.0,9885.0,815569.0,1122257.0,12.0,11795.0,0.0,419306.0,89218.0,1074.0,134.0,17.0,3068472.0,1945282.0,930446.0,172031.0,770449.0,1303326.0,1739.0,129318.0,991637.0,116137.0,2191.0,285328.0,833354.0,633.0,829.0,,1914531.0,,,6194971.0,706012.0,,6000.0,124.0,1889276.0,545202.0,437213.0,48981.0,1158.0
2014_10,2656.0,,1569909.0,594.0,84794.0,35069.0,82018.0,948974.0,4580.0,84325.0,4060.0,68477.0,2052781.0,108491.0,1353994.0,6102216.0,112355.0,3029983.0,845.0,24845.0,7.0,21818.0,322437.0,9356.0,15176.0,113053.0,416110.0,588.0,975.0,10707.0,1365242.0,40618.0,10212.0,466432.0,196.0,10330.0,847237.0,1152286.0,21.0,12597.0,0.0,435778.0,92006.0,1091.0,221.0,26.0,3135549.0,2013152.0,970019.0,183727.0,785962.0,1356949.0,1716.0,136122.0,1030208.0,116735.0,2278.0,295776.0,882424.0,713.0,767.0,,2013992.0,,,6426457.0,726187.0,,6244.0,131.0,1938759.0,564256.0,776294.0,43253.0,1160.0
2014_11,2503.0,,1411803.0,619.0,87516.0,32128.0,44888.0,858943.0,4170.0,76945.0,3611.0,54396.0,1864527.0,103235.0,1267544.0,5769661.0,103041.0,2765176.0,678.0,22075.0,15.0,19984.0,296131.0,8589.0,13348.0,379461.0,394878.0,493.0,793.0,8193.0,1248042.0,35035.0,8723.0,431979.0,352.0,8971.0,766485.0,1063438.0,7.0,11500.0,0.0,380630.0,77014.0,995.0,178.0,19.0,2875421.0,1841285.0,883833.0,150591.0,694718.0,1238130.0,1382.0,118166.0,880449.0,101769.0,2129.0,272136.0,790908.0,544.0,748.0,,1806926.0,,,5941924.0,657099.0,,5404.0,137.0,1788978.0,516835.0,515860.0,41046.0,1004.0
2014_12,3078.0,,1508548.0,1389.0,101306.0,35810.0,47736.0,921016.0,4430.0,175874.0,4072.0,53831.0,2078149.0,119628.0,1405604.0,6564216.0,115030.0,3134999.0,624.0,21381.0,12.0,23008.0,326233.0,9872.0,15304.0,2748789.0,467676.0,752.0,807.0,9890.0,1444743.0,38434.0,9838.0,487468.0,598.0,10155.0,867620.0,1153937.0,5.0,10190.0,0.0,472368.0,86223.0,1281.0,434.0,32.0,3244385.0,2057201.0,995856.0,186074.0,763176.0,1428600.0,1721.0,148571.0,907430.0,112712.0,2579.0,305243.0,879426.0,699.0,845.0,,1724857.0,,,6810177.0,744866.0,,6498.0,175.0,3898129.0,570719.0,431897.0,53042.0,1221.0
2015_01,2031.0,,1488026.0,2635.0,98760.0,31976.0,38322.0,888625.0,4061.0,80759.0,3793.0,50009.0,1891159.0,111078.0,1389107.0,6365037.0,108532.0,2828848.0,661.0,16668.0,12.0,22233.0,297152.0,8165.0,14962.0,2510814.0,419661.0,1242.0,659.0,9629.0,1259275.0,36532.0,9329.0,614307.0,575.0,8706.0,816859.0,1126019.0,26.0,11570.0,0.0,403154.0,71589.0,1040.0,229.0,32.0,2954350.0,1947077.0,920322.0,158564.0,656578.0,1296831.0,1383.0,123536.0,851030.0,96501.0,2420.0,290552.0,830582.0,709.0,659.0,,1222300.0,,,6381773.0,678881.0,,5803.0,147.0,1849834.0,529441.0,355150.0,51259.0,1100.0
2015_02,2135.0,,1362150.0,4013.0,94143.0,29182.0,34173.0,798203.0,3773.0,74023.0,3348.0,42779.0,1586785.0,102850.0,1257021.0,5943959.0,98539.0,2501447.0,595.0,14194.0,10.0,20309.0,259582.0,7593.0,12903.0,1156824.0,396403.0,1892.0,608.0,8573.0,1187295.0,34239.0,9176.0,423153.0,668.0,8467.0,770303.0,1013787.0,300.0,11756.0,1.0,396346.0,67447.0,1039.0,267.0,32.0,2641401.0,1785498.0,825808.0,160825.0,608278.0,1189337.0,1362.0,124954.0,807962.0,91655.0,2391.0,266828.0,766086.0,603.0,664.0,,1097184.0,,,5737766.0,613565.0,,5280.0,154.0,1673233.0,474143.0,311196.0,52909.0,1046.0
2015_03,2693.0,,1537702.0,6643.0,105803.0,32725.0,39540.0,887316.0,4005.0,85106.0,3236.0,47984.0,1434383.0,106758.0,1424835.0,6801590.0,110993.0,2746639.0,655.0,15294.0,7.0,22179.0,284817.0,8940.0,13889.0,624560.0,441586.0,2811.0,528.0,9859.0,1266240.0,37597.0,11564.0,483905.0,800.0,10029.0,869884.0,1172183.0,355.0,13519.0,0.0,458005.0,77111.0,1158.0,282.0,37.0,2933199.0,1988311.0,922170.0,183169.0,706353.0,1324599.0,1511.0,150345.0,982725.0,100334.0,2734.0,302645.0,860671.0,807.0,681.0,,1222782.0,,,6450702.0,683083.0,,5915.0,189.0,1861018.0,527401.0,324349.0,62515.0,1055.0
2015_04,2550.0,1.0,1507488.0,7901.0,102580.0,31895.0,37053.0,845494.0,4133.0,83072.0,2985.0,45167.0,1416540.0,99624.0,1410494.0,6724703.0,107019.0,2582256.0,643.0,14368.0,21.0,20964.0,271212.0,8335.0,13292.0,223130.0,430447.0,2825.0,594.0,8998.0,1217115.0,35474.0,12451.0,477390.0,809.0,9808.0,843101.0,1206048.0,357.0,13894.0,0.0,457780.0,73550.0,1167.0,249.0,59.0,2817326.0,1933181.0,897719.0,184432.0,712987.0,1294469.0,1484.0,149599.0,1073250.0,94919.0,2692.0,297928.0,854091.0,767.0,647.0,,1337635.0,,,6287345.0,658611.0,,5573.0,172.0,1802222.0,510755.0,301809.0,60570.0,1019.0
2015_05,2205.0,1.0,1438739.0,7691.0,102869.0,30897.0,34389.0,840894.0,4062.0,83194.0,4838.0,43722.0,1395601.0,86732.0,1429550.0,6778026.0,106973.0,2515157.0,603.0,13375.0,11.0,19295.0,264824.0,8065.0,12783.0,67267.0,418170.0,3193.0,584.0,9431.0,1215355.0,34741.0,12493.0,481612.0,768.0,9402.0,822352.0,1264446.0,226.0,13267.0,0.0,426147.0,71379.0,1033.0,274.0,47.0,2792704.0,1542176.0,895654.0,175589.0,669399.0,1283818.0,1226.0,142679.0,1118330.0,92996.0,2597.0,296230.0,849570.0,745.0,713.0,,1317257.0,,,6135033.0,649518.0,,5718.0,175.0,1787053.0,507139.0,303513.0,55158.0,985.0
