,cluster,Major_Class,Acute_Chronic,Prod_Form
2143301,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2143380,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2143401,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2143480,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2143601,5,PAIN,ACUTE,INJECTABLES
2143611,5,PAIN,ACUTE,INJECTABLES
2144501,5,IMMUNOLOGY,CHRONIC,INJECTABLES
2144509,5,IMMUNOLOGY,CHRONIC,INJECTABLES
2144511,5,IMMUNOLOGY,CHRONIC,INJECTABLES
2144527,5,IMMUNOLOGY,CHRONIC,INJECTABLES
2237701,5,PAIN,ACUTE,INJECTABLES
2237711,5,PAIN,ACUTE,INJECTABLES
2300475,3,,,
2311509,5,PAIN,ACUTE,INJECTABLES
2322730,1,ADHD,CHRONIC,ORALS
2322830,1,ADHD,CHRONIC,ORALS
2322930,1,ADHD,CHRONIC,ORALS
2323030,1,OTHER CNS,CHRONIC,ORALS
2323130,1,OTHER CNS,CHRONIC,ORALS
2323330,1,OTHER CNS,CHRONIC,ORALS
2323560,1,MENTAL HEALTH,CHRONIC,ORALS
2323830,1,ADHD,CHRONIC,ORALS
2323930,1,ADHD,CHRONIC,ORALS
2324030,1,MENTAL HEALTH,CHRONIC,ORALS
2324090,1,MENTAL HEALTH,CHRONIC,ORALS
2325030,1,ADHD,CHRONIC,ORALS
2325130,1,ADHD,CHRONIC,ORALS
2327004,1,MENTAL HEALTH,CHRONIC,ORALS
2327030,1,MENTAL HEALTH,CHRONIC,ORALS
2411230,1,MENTAL HEALTH,CHRONIC,ORALS
2411530,5,MENTAL HEALTH,CHRONIC,ORALS
2411630,3,MENTAL HEALTH,CHRONIC,ORALS
2411730,4,MENTAL HEALTH,CHRONIC,ORALS
2416502,1,OSTEOPOROSIS,CHRONIC,ORALS
2416507,3,OSTEOPOROSIS,CHRONIC,ORALS
2416530,3,,,
2418230,5,IMMUNOLOGY,CHRONIC,ORALS
2418402,4,OSTEOPOROSIS,CHRONIC,ORALS
2418430,5,OSTEOPOROSIS,CHRONIC,ORALS
2431208,5,PAIN,ACUTE,ORALS
2441530,4,MENTAL HEALTH,CHRONIC,ORALS
2442030,4,MENTAL HEALTH,CHRONIC,ORALS
2445385,1,MENTAL HEALTH,CHRONIC,ORALS
2445485,1,MENTAL HEALTH,CHRONIC,ORALS
2445501,3,,,
2445585,2,MENTAL HEALTH,CHRONIC,ORALS
2445685,3,MENTAL HEALTH,CHRONIC,ORALS
2446230,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446234,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446279,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446330,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446430,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446534,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446579,4,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2448354,5,ONCOLOGICS,ACUTE,ORALS
2449108,5,PAIN,ACUTE,ORALS
2473230,5,IMMUNOLOGY,CHRONIC,ORALS
2481554,5,ONCOLOGICS,ACUTE,ORALS
2512130,1,ANTICOAGULANTS,CHRONIC,ORALS
2512152,1,ANTICOAGULANTS,CHRONIC,ORALS
2512301,1,ANTICOAGULANTS,CHRONIC,ORALS
2512330,1,ANTICOAGULANTS,CHRONIC,ORALS
2512377,1,ANTICOAGULANTS,CHRONIC,ORALS
2533754,5,ONCOLOGICS,ACUTE,ORALS
2621654,5,ONCOLOGICS,ACUTE,ORALS
2751001,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751017,2,ANTIDIABETICS,CHRONIC,INJECTABLES
2751101,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751201,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751601,4,ANTIDIABETICS,CHRONIC,INJECTABLES
2751659,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2759701,3,MENTAL HEALTH,CHRONIC,INJECTABLES
2762301,5,ONCOLOGICS,ACUTE,INJECTABLES
2763511,3,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2763611,3,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2763711,1,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2764001,5,ONCOLOGICS,ACUTE,INJECTABLES
2766901,5,ONCOLOGICS,ACUTE,INJECTABLES
2767801,2,ONCOLOGICS,ACUTE,INJECTABLES
2771227,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2771401,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2771459,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2771501,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2771559,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2771601,5,ONCOLOGICS,ACUTE,INJECTABLES
2772409,4,IMMUNOLOGY,CHRONIC,INJECTABLES
2772411,5,IMMUNOLOGY,CHRONIC,INJECTABLES
2772427,1,IMMUNOLOGY,CHRONIC,INJECTABLES
2821501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2821517,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2831501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2831517,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2840001,1,OSTEOPOROSIS,CHRONIC,INJECTABLES
2850101,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2871501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2871517,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2879701,4,ANTIDIABETICS,CHRONIC,INJECTABLES
2879759,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2879801,3,ANTIDIABETICS,CHRONIC,INJECTABLES
2879859,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2879901,5,ANTIDIABETICS,CHRONIC,INJECTABLES
