Class,Date,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes (%),# price changes prediction,# price changes prediction (%),TRx weighted WAC,Sales weighted WAC,M/M Percent change,Sales weighted WAC predictions,M/M Percent change predictions
MULTIPLE SCLEROSIS,2015-01-01,2015,1,,8.0,2.0,0.25,68.0,0.1176470588235294,97.92175616052864,149.30136287992602,-0.0016670699330010308,147.1169875347645,
MULTIPLE SCLEROSIS,2015-02-01,2015,2,,8.0,1.0,0.125,34.0,0.05882352941176471,98.25658703452741,149.15835489711105,-0.0009578478056491146,151.3821671782814,0.028991754895124178
MULTIPLE SCLEROSIS,2015-03-01,2015,3,,8.0,3.0,0.375,339.0,0.5882352941176471,102.07327732609204,151.48158703997996,0.015575608516676498,152.45884553362336,0.007112319604157591
MULTIPLE SCLEROSIS,2015-04-01,2015,4,,8.0,0.0,0.0,29.0,0.05,101.75137885019514,150.0050307204932,-0.009747431013493735,153.39860244360753,0.006164003844413957
MULTIPLE SCLEROSIS,2015-05-01,2015,5,,8.0,0.0,0.0,0.0,0.0,100.77622958564112,149.09064719036292,-0.006095685762926739,153.35892077627338,-0.0002586833693529744
MULTIPLE SCLEROSIS,2015-06-01,2015,6,,8.0,0.0,0.0,0.0,0.0,102.06377428541079,151.32559169092718,0.01499050773929933,155.07671294995347,0.01120112325376943
MULTIPLE SCLEROSIS,2015-07-01,2015,7,,8.0,1.0,0.125,29.0,0.05,102.80596813403827,154.30824231185352,0.019710153369287386,157.51427361364588,0.015718418435133108
MULTIPLE SCLEROSIS,2015-08-01,2015,8,0.13079580949674824,8.0,4.0,0.5,404.0,0.7,106.51777955590613,156.82874180944435,0.016334185781838872,157.67322303733653,0.0010091112382648593
MULTIPLE SCLEROSIS,2015-09-01,2015,9,0.14532054957862695,8.0,2.0,0.25,58.0,0.1,109.57027773613295,162.76463197911994,0.037849504505290454,158.4147987023392,0.004703244157234332
MULTIPLE SCLEROSIS,2015-10-01,2015,10,0.11722286536803213,8.0,0.0,0.0,29.0,0.05,108.93830198794687,160.40310884854486,-0.014508822352008455,158.30722178996618,-0.0006790837298928931
MULTIPLE SCLEROSIS,2015-11-01,2015,11,0.11725890107277252,8.0,0.0,0.0,0.0,0.0,110.35438471049163,162.99718574678906,0.016172235793095346,158.15040434740723,-0.00099058931605156
MULTIPLE SCLEROSIS,2015-12-01,2015,12,0.12358089819817387,8.0,3.0,0.375,375.0,0.65,111.62159303305924,162.31684581597918,-0.00417393667070276,159.54994913401202,0.008849454368326626
MULTIPLE SCLEROSIS,2016-01-01,2016,1,0.13927184460309658,8.0,4.0,0.5,115.0,0.2,115.93650429685326,169.03697108561937,0.041401280537812335,165.20409784708602,0.035438110408451795
MULTIPLE SCLEROSIS,2016-02-01,2016,2,0.1388469887463281,8.0,1.0,0.125,58.0,0.1,116.65095838414881,170.42678083262038,0.008221927653312422,169.4398817614992,0.025639702462670444
MULTIPLE SCLEROSIS,2016-03-01,2016,3,0.11102463204427043,8.0,0.0,0.0,0.0,0.0,116.58903634902452,170.2175512862885,-0.0012276799767599877,169.98275489827884,0.0032039277361144425
MULTIPLE SCLEROSIS,2016-04-01,2016,4,0.1110781619611758,8.0,0.0,0.0,0.0,0.0,115.72661177226325,168.9852076702084,-0.007239815205703604,171.01850358404408,0.0060932574388798955
MULTIPLE SCLEROSIS,2016-05-01,2016,5,0.13617176080082025,8.0,3.0,0.375,404.0,0.7,119.41151706739235,172.14427766440608,0.018694358149755397,172.65542309244645,0.009571592980276211
MULTIPLE SCLEROSIS,2016-06-01,2016,6,0.1359991752219658,8.0,0.0,0.0,29.0,0.05,119.40883698876725,171.87042460458713,-0.0015908345228461407,174.49291722715859,0.010642550936429407
MULTIPLE SCLEROSIS,2016-07-01,2016,7,0.134631708073224,8.0,1.0,0.125,29.0,0.05,118.73423646971445,173.41292239310494,0.008974771500486867,173.7478209882471,-0.004270065804112266
MULTIPLE SCLEROSIS,2016-08-01,2016,8,0.10491998003895936,8.0,0.0,0.0,0.0,0.0,120.80847859229412,177.2564004316297,0.022163734890598752,173.71142169217046,-0.00020949497881239676
MULTIPLE SCLEROSIS,2016-09-01,2016,9,0.08362984125352307,8.0,0.0,0.0,0.0,0.0,120.31390109379109,175.89875027901257,-0.007659244739886106,171.28354430081822,-0.013976498307950225
MULTIPLE SCLEROSIS,2016-10-01,2016,10,0.09426229912888802,8.0,2.0,0.25,55.0,0.09523809523809523,122.20499380232884,179.50016488139232,0.020474361510057104,176.971170727844,0.033205912746859356
MULTIPLE SCLEROSIS,2016-11-01,2016,11,0.09426706791920568,8.0,0.0,0.0,0.0,0.0,122.43138925359136,179.89394448599577,0.00219375622782092,177.08739892127048,0.0006567634318541682
