Class,Date,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes (%),# price changes prediction,# price changes prediction (%),TRx weighted WAC,Sales weighted WAC,M/M Percent change,Sales weighted WAC predictions,M/M Percent change predictions
OTHER CNS,2015-01-01,2015,1,,18.0,10.0,0.5555555555555556,508.0,0.4137931034482759,8.12496743342912,30.282322493899088,0.07480055767642146,39.11531163853928,
OTHER CNS,2015-02-01,2015,2,,18.0,1.0,0.05555555555555555,42.0,0.03448275862068965,8.308476236116944,31.269612904498548,0.032602862967276325,39.995102449219154,0.022492235746705225
OTHER CNS,2015-03-01,2015,3,,18.0,5.0,0.2777777777777778,212.0,0.1724137931034483,8.485637353667126,31.539688290819345,0.008636991674493721,37.1787563226651,-0.07041727496835148
OTHER CNS,2015-04-01,2015,4,,18.0,5.0,0.2777777777777778,212.0,0.1724137931034483,8.623355673045822,31.157828005672922,-0.012107294201051944,37.924455081575395,0.020057119513051003
OTHER CNS,2015-05-01,2015,5,,18.0,5.0,0.2777777777777778,212.0,0.1724137931034483,8.883585018036346,31.25758355438089,0.0032016207512861605,38.31888387374094,0.01040038126631293
OTHER CNS,2015-06-01,2015,6,,18.0,5.0,0.2777777777777778,245.0,0.2,9.308570915558407,36.828274413278216,0.17821885844776286,40.38982854137795,0.05404501536267836
OTHER CNS,2015-07-01,2015,7,,18.0,0.0,0.0,0.0,0.0,9.280570674804734,37.58802478029618,0.020629540186765993,39.78113660364935,-0.015070426384826474
OTHER CNS,2015-08-01,2015,8,0.3416494953114602,18.0,5.0,0.2777777777777778,198.0,0.16129032258064516,10.015614683192108,48.9602456234212,0.3025490408074434,43.15870107111516,0.08490366932240856
OTHER CNS,2015-09-01,2015,9,0.3199935698405171,18.0,0.0,0.0,0.0,0.0,9.049645826735071,38.768322265444155,-0.208167324902094,37.470091826189545,-0.13180677600913326
OTHER CNS,2015-10-01,2015,10,0.26077724120635243,18.0,6.0,0.3333333333333333,237.0,0.1935483870967742,9.339288734597007,38.74815320101358,-0.0005202459960087502,36.137930377580034,-0.03555266036680493
OTHER CNS,2015-11-01,2015,11,0.2431690338948405,18.0,0.0,0.0,0.0,0.0,9.609669723197824,40.72791418146029,0.0510930410070467,36.06179442082993,-0.002106815635389392
OTHER CNS,2015-12-01,2015,12,0.23212285040825645,18.0,0.0,0.0,0.0,0.0,9.822206182533506,43.37441918186712,0.06498012612714499,37.72262750613597,0.046055198083729154
OTHER CNS,2016-01-01,2016,1,0.22427812275301248,18.0,9.0,0.5,805.0,0.65625,9.958186408672143,46.00283013746181,0.06059818218138835,36.783817569677,-0.024887183065555707
