Class,Date,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes (%),# price changes prediction,# price changes prediction (%),TRx weighted WAC,Sales weighted WAC,M/M Percent change,Sales weighted WAC predictions,M/M Percent change predictions
OTHER HAEMATOLOGICALS,2015-01-01,2015,1,,2.0,1.0,0.5,70.0,0.5,3609.3517741935484,3638.1833775361597,0.011458683713318818,3566.6010175448555,
OTHER HAEMATOLOGICALS,2015-02-01,2015,2,,2.0,0.0,0.0,0.0,0.0,3581.0704545454546,3617.276962525806,-0.0057463884694322065,3659.1009551272323,0.02593503930699015
OTHER HAEMATOLOGICALS,2015-03-01,2015,3,,2.0,0.0,0.0,0.0,0.0,3627.1839416058397,3651.197872359607,0.009377471005182603,3651.849861508776,-0.001981659896072463
OTHER HAEMATOLOGICALS,2015-04-01,2015,4,,2.0,1.0,0.5,70.0,0.5,3823.2021052631576,3871.1126737080685,0.06023086368812436,3761.981310184121,0.030157715363972715
OTHER HAEMATOLOGICALS,2015-05-01,2015,5,,2.0,0.0,0.0,0.0,0.0,3852.8084033613445,3891.6629662788814,0.0053086268220470245,3852.8428519212052,0.024152576593379438
OTHER HAEMATOLOGICALS,2015-06-01,2015,6,,2.0,0.0,0.0,0.0,0.0,3830.5420000000004,3876.237048866714,-0.003963836937019627,3747.276297667886,-0.02739965223359131
OTHER HAEMATOLOGICALS,2015-07-01,2015,7,,2.0,0.0,0.0,0.0,0.0,3805.9317647058824,3858.9773541239956,-0.004452693301552402,3779.66365957646,0.008642907364138086
OTHER HAEMATOLOGICALS,2015-08-01,2015,8,0.06812159819972424,2.0,0.0,0.0,0.0,0.0,3770.7742857142857,3833.9298323875882,-0.006490714880624915,3818.844235851533,0.010366154188297116
OTHER HAEMATOLOGICALS,2015-09-01,2015,9,0.06832020663070049,2.0,0.0,0.0,0.0,0.0,3790.054193548387,3847.7231128672265,0.0035976872511118696,3793.8198601298095,-0.006552866306196337
OTHER HAEMATOLOGICALS,2015-10-01,2015,10,0.06804504913168548,2.0,0.0,0.0,0.0,0.0,3763.3955555555553,3828.6135285392393,-0.004966465560913846,3855.277798723501,0.0161994878142655
OTHER HAEMATOLOGICALS,2015-11-01,2015,11,0.06859377905141878,2.0,0.0,0.0,0.0,0.0,3816.936341463415,3866.722614106486,0.009953756179142736,3993.2256886314894,0.035781569347262954
OTHER HAEMATOLOGICALS,2015-12-01,2015,12,0.06809443747017982,2.0,0.0,0.0,0.0,0.0,3768.152894736842,3832.0435299844316,-0.008968598884114165,3910.278806385822,-0.0207718993899626
OTHER HAEMATOLOGICALS,2016-01-01,2016,1,0.06709022408138604,2.0,1.0,0.5,70.0,0.5,3788.374375,3841.587839302445,0.0024906578548318237,3827.4794317706687,-0.0211748007533209
OTHER HAEMATOLOGICALS,2016-02-01,2016,2,0.06806151085903163,2.0,0.0,0.0,0.0,0.0,3845.5122891566266,3883.2929921530817,0.010856227839946886,3936.417764703937,0.02846216024807502
OTHER HAEMATOLOGICALS,2016-03-01,2016,3,0.0691552468700662,2.0,0.0,0.0,0.0,0.0,3911.952359550562,3930.255875380022,0.01209357195602756,4050.2471826139313,0.02891700645461226
OTHER HAEMATOLOGICALS,2016-04-01,2016,4,0.00505260028577909,2.0,0.0,0.0,0.0,0.0,3742.0776470588235,3806.861656921635,-0.03139597582726239,3917.9420511389294,-0.03266594000557155
OTHER HAEMATOLOGICALS,2016-05-01,2016,5,0.00245163799616925,2.0,0.0,0.0,0.0,0.0,3856.038823529412,3890.841519633223,0.022060129912757853,4064.455300271781,0.03739546098959301
OTHER HAEMATOLOGICALS,2016-06-01,2016,6,0.001321325596077151,2.0,0.0,0.0,0.0,0.0,3907.7561445783135,3927.337043063199,0.009379853495913304,4110.186271579016,0.01125143910530313
OTHER HAEMATOLOGICALS,2016-07-01,2016,7,0.05916822130802595,2.0,1.0,0.5,70.0,0.5,4110.555744680851,4144.574958652379,0.05531430412189464,4079.755407597915,-0.007403767608179512
OTHER HAEMATOLOGICALS,2016-08-01,2016,8,0.05849121546723539,2.0,0.0,0.0,0.0,0.0,4034.3636363636365,4092.788918653386,-0.012494897671203153,4086.7328195938508,0.001710252527134637
