,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.1,252.0
2014-10-01,0.06976744186046512,176.0
2014-11-01,0.3953488372093023,998.0
2014-12-01,0.06976744186046512,176.0
2015-01-01,0.19148936170212766,483.0
2015-02-01,0.0,0.0
2015-03-01,0.16666666666666666,421.0
2015-04-01,0.22448979591836735,567.0
2015-05-01,0.1836734693877551,464.0
2015-06-01,0.08163265306122448,206.0
2015-07-01,0.2857142857142857,721.0
2015-08-01,0.1836734693877551,464.0
2015-09-01,0.24489795918367346,618.0
2015-10-01,0.04081632653061224,103.0
2015-11-01,0.04081632653061224,103.0
2015-12-01,0.1836734693877551,464.0
2016-01-01,0.42,1060.0
2016-02-01,0.07692307692307693,194.0
2016-03-01,0.11538461538461539,291.0
2016-04-01,0.08771929824561403,221.0
2016-05-01,0.017543859649122806,44.0
2016-06-01,0.20689655172413793,522.0
2016-07-01,0.3275862068965517,827.0
2016-08-01,0.0,0.0
2016-09-01,0.034482758620689655,87.0
2016-10-01,0.15517241379310345,392.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.017241379310344827,44.0
2017-02-01,0.5,1262.0
2017-03-01,0.13793103448275862,348.0
2017-04-01,0.06896551724137931,174.0
2017-05-01,0.0847457627118644,214.0
2017-06-01,0.08196721311475409,207.0
2017-07-01,0.016129032258064516,41.0
2017-08-01,0.19047619047619047,481.0
2017-09-01,0.0,0.0
2017-10-01,0.014705882352941176,37.0
2017-11-01,0.07142857142857142,180.0
2017-12-01,0.0,0.0
2018-01-01,0.014705882352941176,37.0
2018-02-01,0.5857142857142857,1478.0
2018-03-01,0.056338028169014086,142.0
2018-04-01,0.014084507042253521,36.0
2018-05-01,0.09859154929577464,249.0
2018-06-01,0.0273972602739726,69.0
2018-07-01,0.02666666666666667,67.0
2018-08-01,0.06329113924050633,160.0
2018-09-01,0.0,0.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.011494252873563218,29.0
2019-01-01,0.0,0.0
2019-02-01,0.6888888888888889,1739.0
2019-03-01,0.06593406593406594,166.0
2019-04-01,0.0,0.0
2019-05-01,0.0,0.0
2019-06-01,0.010638297872340425,27.0
2019-07-01,0.010526315789473684,27.0
2019-08-01,0.11578947368421053,292.0
2019-09-01,0.0,0.0
2019-10-01,0.0,0.0
2019-11-01,0.010101010101010102,25.0
2019-12-01,0.0,0.0
2020-01-01,0.0,0.0
2020-02-01,0.82,2070.0
2020-03-01,0.07,177.0
2020-04-01,0.0,0.0
2020-05-01,0.01,25.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.08108108108108109,205.0
2020-10-01,0.0,0.0
2020-11-01,0.0,0.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.918918918918919,2319.0
2021-03-01,0.0,0.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
