Class,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions
IMMUNOLOGY,2015,1,,35.0,8.0,483.0,0.22857142857142856,0.1914893617021277,1715.5433091303048,5720.414588703,5616.269276222966
IMMUNOLOGY,2015,2,,35.0,0.0,0.0,0.0,0.0,1709.9859807401206,5700.711105698491,5893.665764291201
IMMUNOLOGY,2015,3,,35.0,7.0,421.0,0.2,0.16666666666666666,1728.357601536781,5772.692627248804,5922.370040481734
IMMUNOLOGY,2015,4,,35.0,6.0,567.0,0.17142857142857143,0.22448979591836732,1787.7674388848204,5657.911217081519,5872.014417497341
IMMUNOLOGY,2015,5,,35.0,8.0,464.0,0.22857142857142856,0.1836734693877551,1823.8403069172837,5989.2610188422395,5961.046684318688
IMMUNOLOGY,2015,6,,35.0,3.0,206.0,0.08571428571428572,0.08163265306122447,1848.07364990072,6148.186958636984,6115.455732304657
IMMUNOLOGY,2015,7,,35.0,8.0,721.0,0.22857142857142856,0.2857142857142857,1815.232288968421,6022.060607000532,5958.129408072957
IMMUNOLOGY,2015,8,0.19047190220309934,35.0,6.0,464.0,0.17142857142857143,0.1836734693877551,1853.3519745331107,5867.810134589566,5769.248480815188
IMMUNOLOGY,2015,9,0.20857457495916487,35.0,12.0,618.0,0.34285714285714286,0.24489795918367346,1908.768471078224,6036.130964222617,6042.221418140511
IMMUNOLOGY,2015,10,0.209022372144166,35.0,1.0,103.0,0.02857142857142857,0.040816326530612235,1897.5524632070596,6009.84688318975,6080.2971244860655
IMMUNOLOGY,2015,11,0.15438595460746365,35.0,2.0,103.0,0.05714285714285714,0.040816326530612235,1908.4695992015609,6209.576072216242,6111.006641526238
IMMUNOLOGY,2015,12,0.16780752380117014,35.0,9.0,464.0,0.2571428571428571,0.1836734693877551,1927.1325501462857,6187.2555380143785,6107.171427844105
IMMUNOLOGY,2016,1,0.21814209276958774,35.0,15.0,1060.0,0.42857142857142855,0.42,2036.318698533544,6158.76647640881,6206.818347167391
IMMUNOLOGY,2016,2,0.21727095278522346,35.0,0.0,194.0,0.0,0.07692307692307693,2050.4215770963588,6244.36560361921,6582.834773760592
IMMUNOLOGY,2016,3,0.21568197876635264,35.0,6.0,291.0,0.17142857142857143,0.1153846153846154,2061.52149433325,6307.27223297947,6675.627357638149
IMMUNOLOGY,2016,4,0.18016380691620626,35.0,3.0,221.0,0.08571428571428572,0.08771929824561403,2084.488659184023,6652.403745411486,6677.635284196511
IMMUNOLOGY,2016,5,0.1451956797367138,35.0,1.0,44.0,0.02857142857142857,0.017543859649122806,2098.7237030941005,6707.45449083326,6584.55835607839
IMMUNOLOGY,2016,6,0.1864016142015278,35.0,8.0,522.0,0.22857142857142856,0.20689655172413796,2178.6402757266383,6658.722671975129,6493.897801362731
IMMUNOLOGY,2016,7,0.20465023893979026,35.0,13.0,827.0,0.37142857142857144,0.3275862068965517,2195.395349388395,6482.219864384885,6375.043621121125
