Class,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions
"ALLERGY, SYSTEMIC & NASAL",2015,1,,5.0,0.0,96.0,0.0,0.3333333333333333,6.527143352687212,7.134197925173588,7.033074750666652
"ALLERGY, SYSTEMIC & NASAL",2015,2,,5.0,0.0,0.0,0.0,0.0,6.511664243915779,7.122023723576273,7.161160008437268
"ALLERGY, SYSTEMIC & NASAL",2015,3,,5.0,0.0,0.0,0.0,0.0,6.431353928291537,7.050250643284066,7.0769464687910215
"ALLERGY, SYSTEMIC & NASAL",2015,4,,5.0,2.0,96.0,0.4,0.3333333333333333,6.503465499629903,7.060370894125493,7.071156196350327
"ALLERGY, SYSTEMIC & NASAL",2015,5,,5.0,0.0,0.0,0.0,0.0,6.44188699816802,6.99973696230547,6.980464922734502
"ALLERGY, SYSTEMIC & NASAL",2015,6,,5.0,0.0,0.0,0.0,0.0,6.416961822415399,6.978323381354679,7.0033565086559895
"ALLERGY, SYSTEMIC & NASAL",2015,7,,5.0,1.0,32.0,0.2,0.1111111111111111,6.481142702297362,6.9839927581060435,7.00853418796891
"ALLERGY, SYSTEMIC & NASAL",2015,8,0.0961398890622263,5.0,0.0,0.0,0.0,0.0,6.47151845699144,6.973002855693337,6.953633670121528
"ALLERGY, SYSTEMIC & NASAL",2015,9,0.0962175537582214,5.0,0.0,0.0,0.0,0.0,6.425822281243964,6.9448755477085395,6.943059752389878
"ALLERGY, SYSTEMIC & NASAL",2015,10,0.0403625956995876,5.0,0.0,0.0,0.0,0.0,6.32790276128266,6.864783601646287,6.902186214339987
"ALLERGY, SYSTEMIC & NASAL",2015,11,0.04173235041305719,5.0,0.0,0.0,0.0,0.0,6.315890265051118,6.843823362123006,6.83866375865525
"ALLERGY, SYSTEMIC & NASAL",2015,12,0.04406874444828661,5.0,0.0,0.0,0.0,0.0,6.224531300784286,6.75896592526466,6.772773414769863
"ALLERGY, SYSTEMIC & NASAL",2016,1,0.04234932483815605,5.0,0.0,64.0,0.0,0.2222222222222222,6.191261506513946,6.755119755236447,6.781686232022895
"ALLERGY, SYSTEMIC & NASAL",2016,2,0.03638335490518746,5.0,0.0,0.0,0.0,0.0,6.402272894974173,6.952224371887432,6.895569834105573
"ALLERGY, SYSTEMIC & NASAL",2016,3,0.037552818652648375,5.0,0.0,0.0,0.0,0.0,6.363355719610092,6.915654538666874,6.939696285471452
"ALLERGY, SYSTEMIC & NASAL",2016,4,0.008164869511053014,5.0,0.0,0.0,0.0,0.0,6.377369610065745,6.925808643433423,6.938810021611143
"ALLERGY, SYSTEMIC & NASAL",2016,5,0.008389308758759756,5.0,0.0,0.0,0.0,0.0,6.361082661105158,6.909635586815289,6.919662772287433
"ALLERGY, SYSTEMIC & NASAL",2016,6,0.029589097851874163,5.0,2.0,96.0,0.4,0.3333333333333333,6.460758616123159,6.966098559196508,6.914078988475526
"ALLERGY, SYSTEMIC & NASAL",2016,7,0.02794186520821641,5.0,1.0,32.0,0.2,0.1111111111111111,6.6473020312798035,7.088878219244531,6.991146108596978
"ALLERGY, SYSTEMIC & NASAL",2016,8,0.026733503203864875,5.0,0.0,0.0,0.0,0.0,6.707050633021916,7.136674636574715,7.1767616985950395
"ALLERGY, SYSTEMIC & NASAL",2016,9,0.027115268117681474,5.0,0.0,0.0,0.0,0.0,6.65570555365687,7.102848085938575,7.119140335347102
"ALLERGY, SYSTEMIC & NASAL",2016,10,0.02756658850709066,5.0,0.0,0.0,0.0,0.0,6.6399181984148195,7.086614932390847,7.115391062422106
"ALLERGY, SYSTEMIC & NASAL",2016,11,0.028635440230903524,5.0,0.0,0.0,0.0,0.0,6.580412592180843,7.04096388913292,7.065332437520177
"ALLERGY, SYSTEMIC & NASAL",2016,12,0.0293057769608139,5.0,0.0,0.0,0.0,0.0,6.553531953159522,7.01165209934454,6.990692730231439
