NDC,cluster,Major_Class,Acute_Chronic,Prod_Form
2143380,3,ANTIDIABETICS,CHRONIC,INJECTABLES
2322730,1,ADHD,CHRONIC,ORALS
2322830,1,ADHD,CHRONIC,ORALS
2322930,1,ADHD,CHRONIC,ORALS
2323030,1,OTHER CNS,CHRONIC,ORALS
2323130,1,OTHER CNS,CHRONIC,ORALS
2323330,1,OTHER CNS,CHRONIC,ORALS
2323560,1,MENTAL HEALTH,CHRONIC,ORALS
2323830,1,ADHD,CHRONIC,ORALS
2323930,1,ADHD,CHRONIC,ORALS
2324030,1,MENTAL HEALTH,CHRONIC,ORALS
2324090,1,MENTAL HEALTH,CHRONIC,ORALS
2325030,1,ADHD,CHRONIC,ORALS
2325130,1,ADHD,CHRONIC,ORALS
2327004,1,MENTAL HEALTH,CHRONIC,ORALS
2327030,1,MENTAL HEALTH,CHRONIC,ORALS
2411230,1,MENTAL HEALTH,CHRONIC,ORALS
2411530,1,MENTAL HEALTH,CHRONIC,ORALS
2411630,1,MENTAL HEALTH,CHRONIC,ORALS
2411730,1,MENTAL HEALTH,CHRONIC,ORALS
2441530,1,MENTAL HEALTH,CHRONIC,ORALS
2442030,1,MENTAL HEALTH,CHRONIC,ORALS
2445385,1,MENTAL HEALTH,CHRONIC,ORALS
2445485,1,MENTAL HEALTH,CHRONIC,ORALS
2445585,1,MENTAL HEALTH,CHRONIC,ORALS
2445685,1,MENTAL HEALTH,CHRONIC,ORALS
2446230,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446234,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446330,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446430,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446534,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2512130,1,ANTICOAGULANTS,CHRONIC,ORALS
2512330,1,ANTICOAGULANTS,CHRONIC,ORALS
2512377,1,ANTICOAGULANTS,CHRONIC,ORALS
2751001,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751017,4,ANTIDIABETICS,CHRONIC,INJECTABLES
2751101,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751201,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751601,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751659,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2759701,1,MENTAL HEALTH,CHRONIC,INJECTABLES
2762301,4,ONCOLOGICS,ACUTE,INJECTABLES
2763511,2,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2763611,1,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2763711,1,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2764001,3,ONCOLOGICS,ACUTE,INJECTABLES
2766901,2,ONCOLOGICS,ACUTE,INJECTABLES
2767801,1,ONCOLOGICS,ACUTE,INJECTABLES
2821501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2821517,4,ANTIDIABETICS,CHRONIC,INJECTABLES
2831501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2831517,4,ANTIDIABETICS,CHRONIC,INJECTABLES
2840001,1,OSTEOPOROSIS,CHRONIC,INJECTABLES
2850101,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2871501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2871517,3,ANTIDIABETICS,CHRONIC,INJECTABLES
2879701,1,ANTIDIABETICS,CHRONIC,INJECTABLES
