NDC,cluster,Major_Class,Acute_Chronic,Prod_Form
2143301,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2143380,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2143401,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2143480,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2144509,1,IMMUNOLOGY,CHRONIC,INJECTABLES
2144511,1,IMMUNOLOGY,CHRONIC,INJECTABLES
2144527,1,IMMUNOLOGY,CHRONIC,INJECTABLES
2322730,1,ADHD,CHRONIC,ORALS
2322830,1,ADHD,CHRONIC,ORALS
2322930,1,ADHD,CHRONIC,ORALS
2323330,1,OTHER CNS,CHRONIC,ORALS
2323560,1,MENTAL HEALTH,CHRONIC,ORALS
2323830,1,ADHD,CHRONIC,ORALS
2323930,1,ADHD,CHRONIC,ORALS
2324030,1,MENTAL HEALTH,CHRONIC,ORALS
2324090,1,MENTAL HEALTH,CHRONIC,ORALS
2325030,1,ADHD,CHRONIC,ORALS
2325130,1,ADHD,CHRONIC,ORALS
2327004,1,MENTAL HEALTH,CHRONIC,ORALS
2327030,1,MENTAL HEALTH,CHRONIC,ORALS
2411230,1,MENTAL HEALTH,CHRONIC,ORALS
2411530,1,MENTAL HEALTH,CHRONIC,ORALS
2411630,1,MENTAL HEALTH,CHRONIC,ORALS
2411730,1,MENTAL HEALTH,CHRONIC,ORALS
2418402,1,OSTEOPOROSIS,CHRONIC,ORALS
2418430,1,OSTEOPOROSIS,CHRONIC,ORALS
2441530,1,MENTAL HEALTH,CHRONIC,ORALS
2442030,1,MENTAL HEALTH,CHRONIC,ORALS
2445385,1,MENTAL HEALTH,CHRONIC,ORALS
2445485,1,MENTAL HEALTH,CHRONIC,ORALS
2445585,1,MENTAL HEALTH,CHRONIC,ORALS
2445685,1,MENTAL HEALTH,CHRONIC,ORALS
2446230,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446234,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446330,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446430,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2446534,1,ERECTILE DYSFUNCTION,CHRONIC,ORALS
2512130,1,ANTICOAGULANTS,CHRONIC,ORALS
2512330,1,ANTICOAGULANTS,CHRONIC,ORALS
2512377,1,ANTICOAGULANTS,CHRONIC,ORALS
2751001,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751017,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751101,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751201,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2751659,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2762301,1,ONCOLOGICS,ACUTE,INJECTABLES
2763611,1,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2763711,1,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2764001,1,ONCOLOGICS,ACUTE,INJECTABLES
2766901,1,ONCOLOGICS,ACUTE,INJECTABLES
2767801,1,ONCOLOGICS,ACUTE,INJECTABLES
2771227,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2771501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2771559,1,ANTIDIABETICS,CHRONIC,INJECTABLES
