,row,column,corr
0,A.C.T.H.,A.C.T.H.,1.0
1,A.C.T.H.,ADHD,0.6120439247472649
2,A.C.T.H.,ALL OTHER RESPIRATORY,0.03979262576325043
3,A.C.T.H.,ALL OTHER THERAPEUTICS,0.3679276950712207
4,A.C.T.H.,ALL OTHER UROLOGICAL,0.26085312886509454
5,A.C.T.H.,"ALLERGY, SYSTEMIC & NASAL",0.3133842986974239
6,A.C.T.H.,ANTI-ALZHEIMERS,0.7321882819129066
7,A.C.T.H.,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",-0.00626224291085155
8,A.C.T.H.,ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,-0.08066351109311562
9,A.C.T.H.,"ANTI-OBESITY PREPS, EXCL. DIETETICS",0.2630142022557629
10,A.C.T.H.,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",0.5565091023086514
11,A.C.T.H.,ANTI-ULCERANTS,0.6138075141919346
12,A.C.T.H.,ANTIBACTERIALS,0.6520870422919949
13,A.C.T.H.,ANTICOAGULANTS,0.6296475466781872
14,A.C.T.H.,ANTIDIABETICS,0.47030108967728057
15,A.C.T.H.,ANTIGOUT PREPS,0.11266494393609634
16,A.C.T.H.,"ANTIHYPERTENSIVES, PLAIN & COMBO",0.6094239810759793
17,A.C.T.H.,ANTITUBERCULARS,0.5824785736176644
18,A.C.T.H.,"ANTIVIRALS, HERPES",0.4810395319478139
19,A.C.T.H.,BLOOD COAGULATION,0.22932157298951117
20,A.C.T.H.,BPH (BENIGN PROSTATIC HYPERTROPHY),0.610432378050217
21,A.C.T.H.,"CANCER DETOX AG, ANTI-NAUSEANTS",0.7424090685923104
22,A.C.T.H.,"CORTICOSTEROIDS, PLAIN & COMBO",0.648854199600831
23,A.C.T.H.,"COUGH COLD, INCL FLU ANTIVIRALS",0.15772920465514118
24,A.C.T.H.,DERMATOLOGICS,0.6114446387663132
25,A.C.T.H.,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,-0.12126369888623408
26,A.C.T.H.,DIETETICS,0.5408524452393354
27,A.C.T.H.,EAR TREATMENTS&EYE-EAR COMBOS,0.6103813230081045
28,A.C.T.H.,ERECTILE DYSFUNCTION,0.71008770823696
29,A.C.T.H.,ERYTHROPOIETINS,0.6529100566238415
30,A.C.T.H.,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,0.5164212004880305
31,A.C.T.H.,GI PRODUCTS,0.48522352598904545
32,A.C.T.H.,GROWTH HORMONES,0.272030973126473
33,A.C.T.H.,HEMATOPOIETIC GROWTH FACTORS,0.3829880968202593
34,A.C.T.H.,HIV ANTIVIRALS,0.5643841380705454
35,A.C.T.H.,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",0.6000253766535163
36,A.C.T.H.,HOSPITAL SOLUTIONS,-0.042257712736425875
37,A.C.T.H.,HYPOTHALAMIC HORMONES,0.4041868313321713
38,A.C.T.H.,IMMUNOLOGY,0.27128595928436794
39,A.C.T.H.,IMMUNOSUPPRESSANTS,0.5835422895873634
40,A.C.T.H.,"INTERFERONS, EXCL MS MARKET",0.34976859874755223
41,A.C.T.H.,J07D6 TUBERCULOSIS VACCINES,-0.08242255917447351
42,A.C.T.H.,LABOUR INDUCERS,-0.06048583789091338
43,A.C.T.H.,LIPID REGULATORS,0.6630858650458729
44,A.C.T.H.,MENTAL HEALTH,0.6046113350258243
45,A.C.T.H.,MIOTICS+ANTIGLAUCOMA PREPS,0.5843455990458444
46,A.C.T.H.,MULTIPLE SCLEROSIS,0.5019937473023769
47,A.C.T.H.,"NASAL PREPS, TOPICAL",0.170577941904667
48,A.C.T.H.,NERVOUS SYSTEM DISORDERS,0.5536341680489736
49,A.C.T.H.,OCULAR ANTINEOVASCULARISATION,-0.06048583789091343
50,A.C.T.H.,ONCOLOGICS,0.36754702156807806
51,A.C.T.H.,"OPHTHALMOLOGY, GENERAL",0.7297266291374644
52,A.C.T.H.,OSTEOPOROSIS,0.5561860661369155
53,A.C.T.H.,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,-0.006224570111797663
54,A.C.T.H.,OTHER CARDIOVASCULARS,0.4404585930678954
55,A.C.T.H.,OTHER CNS,0.5798896156745325
56,A.C.T.H.,OTHER HAEMATOLOGICALS,0.18839107776869526
57,A.C.T.H.,OTHER HORMONES,0.11418753479889256
58,A.C.T.H.,OTHER WOMEN'S HEALTH,0.13003912165257453
59,A.C.T.H.,PAIN,0.527244428939877
60,A.C.T.H.,POLYVAL IMMUNOGLOBLULINS IV&IM,0.24913643956122006
61,A.C.T.H.,RESP ANTIVIRALS EX FLU,-0.060485837890913365
62,A.C.T.H.,RESPIRATORY AGENTS,0.5801120966485507
63,A.C.T.H.,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",0.5533121283945904
64,A.C.T.H.,SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,-0.08084520834544433
65,A.C.T.H.,SYST ANTIFUNGALS,0.6410804405670263
66,A.C.T.H.,THROMBOPOIETIN AGONISTS,0.5064227267371096
67,A.C.T.H.,THYROID ANTI-THYROID AND IODINE PREPS,0.07323629293977384
68,A.C.T.H.,URINARY INCONTINENCE,0.464908591609806
69,A.C.T.H.,"VACCINES (PURE, COMB, OTHER)",0.1563681130003545
70,A.C.T.H.,VIRAL HEPATITIS,0.737030117823319
71,A.C.T.H.,VITAMINS & MINERALS,-0.06917482381618321
72,ADHD,A.C.T.H.,0.6120439247472649
73,ADHD,ADHD,1.0
74,ADHD,ALL OTHER RESPIRATORY,0.38456888329857664
75,ADHD,ALL OTHER THERAPEUTICS,0.6431870675814187
76,ADHD,ALL OTHER UROLOGICAL,0.5081208719584251
77,ADHD,"ALLERGY, SYSTEMIC & NASAL",0.5406736236216027
78,ADHD,ANTI-ALZHEIMERS,0.8907459007285647
79,ADHD,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",0.3690431539033608
80,ADHD,ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,0.3182343987016756
81,ADHD,"ANTI-OBESITY PREPS, EXCL. DIETETICS",0.4248136656719409
82,ADHD,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",0.8172980335549946
83,ADHD,ANTI-ULCERANTS,0.8838967762013765
84,ADHD,ANTIBACTERIALS,0.8482949804979709
85,ADHD,ANTICOAGULANTS,0.9071482608683274
86,ADHD,ANTIDIABETICS,0.8288526934545306
87,ADHD,ANTIGOUT PREPS,0.3028737495120378
88,ADHD,"ANTIHYPERTENSIVES, PLAIN & COMBO",0.9023423786133751
89,ADHD,ANTITUBERCULARS,0.6647662328239811
90,ADHD,"ANTIVIRALS, HERPES",0.8650820460442751
91,ADHD,BLOOD COAGULATION,0.7168943990192271
92,ADHD,BPH (BENIGN PROSTATIC HYPERTROPHY),0.8273169215602946
93,ADHD,"CANCER DETOX AG, ANTI-NAUSEANTS",0.7341991606878837
94,ADHD,"CORTICOSTEROIDS, PLAIN & COMBO",0.7563773604376669
95,ADHD,"COUGH COLD, INCL FLU ANTIVIRALS",0.3399654143558892
96,ADHD,DERMATOLOGICS,0.8792214250405267
97,ADHD,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,0.2641833787953657
98,ADHD,DIETETICS,0.5020982897114281
99,ADHD,EAR TREATMENTS&EYE-EAR COMBOS,0.8182689127466537
100,ADHD,ERECTILE DYSFUNCTION,0.8040998415612431
101,ADHD,ERYTHROPOIETINS,0.7327187776910355
102,ADHD,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,0.7903084760120609
103,ADHD,GI PRODUCTS,0.8474158131318948
104,ADHD,GROWTH HORMONES,0.5547422412749281
105,ADHD,HEMATOPOIETIC GROWTH FACTORS,0.4673909123680003
106,ADHD,HIV ANTIVIRALS,0.9289302632049463
107,ADHD,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",0.8718458752856936
108,ADHD,HOSPITAL SOLUTIONS,-0.06687501738399368
109,ADHD,HYPOTHALAMIC HORMONES,0.7689329104246416
110,ADHD,IMMUNOLOGY,0.7584379077613999
111,ADHD,IMMUNOSUPPRESSANTS,0.9197843548506782
112,ADHD,"INTERFERONS, EXCL MS MARKET",0.4328122816319386
113,ADHD,J07D6 TUBERCULOSIS VACCINES,-0.047622988760161356
114,ADHD,LABOUR INDUCERS,-0.0957219688076847
115,ADHD,LIPID REGULATORS,0.8169519977308655
116,ADHD,MENTAL HEALTH,0.9054699480022554
117,ADHD,MIOTICS+ANTIGLAUCOMA PREPS,0.9154777286532434
118,ADHD,MULTIPLE SCLEROSIS,0.8967562574395631
119,ADHD,"NASAL PREPS, TOPICAL",0.31980735089251794
120,ADHD,NERVOUS SYSTEM DISORDERS,0.8981619919348551
121,ADHD,OCULAR ANTINEOVASCULARISATION,-0.09572196880768469
122,ADHD,ONCOLOGICS,0.8240600825567931
123,ADHD,"OPHTHALMOLOGY, GENERAL",0.9467759097720644
124,ADHD,OSTEOPOROSIS,0.8015506653955455
125,ADHD,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,0.4341978916231696
126,ADHD,OTHER CARDIOVASCULARS,0.805493689732916
127,ADHD,OTHER CNS,0.8949218788391897
128,ADHD,OTHER HAEMATOLOGICALS,0.5416318515022905
129,ADHD,OTHER HORMONES,0.26604492987369993
130,ADHD,OTHER WOMEN'S HEALTH,0.5217490297823216
131,ADHD,PAIN,0.8999838514468553
132,ADHD,POLYVAL IMMUNOGLOBLULINS IV&IM,0.6397422087416206
133,ADHD,RESP ANTIVIRALS EX FLU,0.38770609513716636
134,ADHD,RESPIRATORY AGENTS,0.9006339426321103
