Class,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions
"VACCINES (PURE, COMB, OTHER)",2015,1,,42.0,0.0,0.0,0.0,0.0,181.64770349812053,211.97979542049438,240.6135811106768
"VACCINES (PURE, COMB, OTHER)",2015,2,,42.0,0.0,0.0,0.0,0.0,182.7685675603049,217.9571360685925,240.02698189751567
"VACCINES (PURE, COMB, OTHER)",2015,3,,42.0,3.0,2.0,0.07142857142857142,0.046875,196.23503366582702,231.37560214753302,234.8303203324749
"VACCINES (PURE, COMB, OTHER)",2015,4,,42.0,0.0,0.0,0.0,0.0,195.6981410403034,231.92487966397445,226.8193259937481
"VACCINES (PURE, COMB, OTHER)",2015,5,,42.0,0.0,0.0,0.0,0.0,190.9603441621686,228.86051961948738,216.93187444663846
"VACCINES (PURE, COMB, OTHER)",2015,6,,42.0,2.0,2.0,0.047619047619047616,0.046153846,188.19000497959584,226.28694933554613,216.65702849259674
"VACCINES (PURE, COMB, OTHER)",2015,7,,42.0,0.0,0.0,0.0,0.0,184.24201441456003,224.00949283804349,212.06728270034688
"VACCINES (PURE, COMB, OTHER)",2015,8,0.0906080449269888,42.0,0.0,0.0,0.0,0.0,188.44220303739277,230.1330322919,225.14016977744703
"VACCINES (PURE, COMB, OTHER)",2015,9,0.10219202125479454,42.0,0.0,0.0,0.0,0.0,225.20577179281005,259.6336972962996,262.4724349808023
"VACCINES (PURE, COMB, OTHER)",2015,10,0.1065340839160704,42.0,13.0,16.0,0.30952380952380953,0.37142857100000004,240.23299729694057,268.67422146360667,274.78064966620053
"VACCINES (PURE, COMB, OTHER)",2015,11,0.05751923458479943,42.0,3.0,2.0,0.07142857142857142,0.042253520999999995,236.14761488040847,270.80928862337663,269.59759990777104
"VACCINES (PURE, COMB, OTHER)",2015,12,0.06005436666212334,42.0,13.0,12.0,0.30952380952380953,0.273972603,221.94988803449272,259.1333148818276,257.0664597228165
"VACCINES (PURE, COMB, OTHER)",2016,1,0.05961911890295043,42.0,0.0,1.0,0.0,0.02739726,212.7818006711718,254.807601821328,245.2288914418509
"VACCINES (PURE, COMB, OTHER)",2016,2,0.06033541065324975,42.0,0.0,0.0,0.0,0.0,203.2321891684191,246.97848532281304,249.5560087149374
"VACCINES (PURE, COMB, OTHER)",2016,3,0.03265824159536542,42.0,0.0,0.0,0.0,0.0,193.63761959925748,238.97085090347665,248.40712895474363
"VACCINES (PURE, COMB, OTHER)",2016,4,0.04945000504402063,42.0,3.0,2.0,0.07142857142857142,0.04109589,192.7995643277638,237.77899503775953,227.71312439272072
"VACCINES (PURE, COMB, OTHER)",2016,5,0.049506632384032,42.0,0.0,0.0,0.0,0.0,188.41412252259383,234.2414685690816,219.53464047877145
"VACCINES (PURE, COMB, OTHER)",2016,6,0.04845700660698087,42.0,0.0,0.0,0.0,0.0,182.826672487065,229.6039074207898,222.0800353544393
"VACCINES (PURE, COMB, OTHER)",2016,7,0.047906688824751936,42.0,0.0,0.0,0.0,0.0,176.021495835402,225.3448780031536,228.2841581762684
"VACCINES (PURE, COMB, OTHER)",2016,8,0.0585559935751953,42.0,12.0,8.0,0.2857142857142857,0.18627451,174.39827278819854,228.33752523128015,237.6115786866084
"VACCINES (PURE, COMB, OTHER)",2016,9,0.062424357631786914,42.0,0.0,0.0,0.0,0.0,217.07568749884513,260.6145856396989,265.1320499686819
"VACCINES (PURE, COMB, OTHER)",2016,10,0.05431061676884055,42.0,0.0,0.0,0.0,0.0,229.88179660836607,267.8218945195724,271.93450687873496
"VACCINES (PURE, COMB, OTHER)",2016,11,0.06009683795279248,42.0,3.0,2.0,0.07142857142857142,0.049019608,233.6249557222437,278.04741611879007,274.4597825594293
"VACCINES (PURE, COMB, OTHER)",2016,12,0.057299248969324014,42.0,0.0,0.0,0.0,0.0,222.1749697520644,269.2384310422751,265.05900915749163
"VACCINES (PURE, COMB, OTHER)",2017,1,0.054731017847677525,42.0,2.0,2.0,0.047619047619047616,0.038461537999999997,208.42649885550566,262.1066207894003,258.66685350642973
"VACCINES (PURE, COMB, OTHER)",2017,2,0.07528454010242659,42.0,3.0,1.0,0.07142857142857142,0.028846154,196.27276050239948,253.0314023620469,247.97614971436684
"VACCINES (PURE, COMB, OTHER)",2017,3,0.07636866093416332,42.0,0.0,1.0,0.0,0.019230768999999998,181.63513669600664,239.31488323366662,250.98625040124847
"VACCINES (PURE, COMB, OTHER)",2017,4,0.05964380657946105,42.0,0.0,0.0,0.0,0.0,178.94272276629854,236.08370129605476,234.2438179631793
"VACCINES (PURE, COMB, OTHER)",2017,5,0.06265131196363084,42.0,14.0,9.0,0.3333333333333333,0.21238938100000002,176.35077531426637,233.14266927820353,225.48660513899017
"VACCINES (PURE, COMB, OTHER)",2017,6,0.06253343571173668,42.0,0.0,1.0,0.0,0.017857143,173.5122429384077,229.74098343704085,227.0442570051208
"VACCINES (PURE, COMB, OTHER)",2017,7,0.06290976855392108,42.0,0.0,0.0,0.0,0.0,172.08564853112213,226.94476648385051,229.50278759899413
