DATE,CPIMEDSL_NBD20140101
1/1/2014,100
2/1/2014,100.26698
3/1/2014,100.51676
4/1/2014,100.76072
5/1/2014,100.99375
6/1/2014,101.20887
7/1/2014,101.36631
8/1/2014,101.40748
9/1/2014,101.65167
10/1/2014,101.80679
11/1/2014,102.19052
12/1/2014,102.66867
1/1/2015,102.64239
2/1/2015,102.58425
3/1/2015,103.01264
4/1/2015,103.68219
5/1/2015,103.89638
6/1/2015,103.80033
7/1/2015,103.94522
8/1/2015,103.86591
9/1/2015,104.10685
10/1/2015,104.81222
11/1/2015,105.1713
12/1/2015,105.28921
1/1/2016,105.66526
2/1/2016,106.17225
3/1/2016,106.3983
4/1/2016,106.78529
5/1/2016,107.14344
6/1/2016,107.50461
7/1/2016,108.01904
8/1/2016,108.95465
9/1/2016,109.24559
10/1/2016,109.27442
11/1/2016,109.34443
12/1/2016,109.53071
1/1/2017,109.67932
2/1/2017,109.94444
3/1/2017,110.09514
4/1/2017,109.95979
5/1/2017,110.0063
6/1/2017,110.38701
7/1/2017,110.82097
8/1/2017,110.93261
9/1/2017,110.98958
10/1/2017,111.10889
11/1/2017,111.17005
12/1/2017,111.42401
1/1/2018,111.79565
2/1/2018,111.89379
3/1/2018,112.2745
4/1/2018,112.40195
5/1/2018,112.66846
6/1/2018,113.11568
7/1/2018,112.95289
8/1/2018,112.64335
9/1/2018,112.93149
10/1/2018,112.99056
11/1/2018,113.42267
12/1/2018,113.61477
1/1/2019,113.87849
2/1/2019,113.84221
3/1/2019,114.19827
4/1/2019,114.57502
5/1/2019,115.03318
6/1/2019,115.33946
7/1/2019,115.86878
8/1/2019,116.55507
9/1/2019,116.85299
10/1/2019,117.83906
11/1/2019,118.22675
12/1/2019,118.7656
1/1/2020,118.9749
2/1/2020,119.10026
3/1/2020,119.6019
4/1/2020,120.08447
5/1/2020,120.67471
6/1/2020,121.19729
7/1/2020,121.69032
8/1/2020,121.77079
