,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.1,238.0
2014-10-01,0.06976744186046512,166.0
2014-11-01,0.3953488372093023,941.0
2014-12-01,0.06976744186046512,166.0
2015-01-01,0.19148936170212766,456.0
2015-02-01,0.0,0.0
2015-03-01,0.16666666666666666,397.0
2015-04-01,0.22448979591836735,534.0
2015-05-01,0.1836734693877551,437.0
2015-06-01,0.08163265306122448,194.0
2015-07-01,0.2857142857142857,680.0
2015-08-01,0.1836734693877551,437.0
2015-09-01,0.24489795918367346,583.0
2015-10-01,0.04081632653061224,97.0
2015-11-01,0.04081632653061224,97.0
2015-12-01,0.1836734693877551,437.0
2016-01-01,0.42,1000.0
2016-02-01,0.07692307692307693,183.0
2016-03-01,0.11538461538461539,275.0
2016-04-01,0.08771929824561403,209.0
2016-05-01,0.017543859649122806,42.0
2016-06-01,0.20689655172413793,492.0
2016-07-01,0.3275862068965517,780.0
2016-08-01,0.0,0.0
2016-09-01,0.034482758620689655,82.0
2016-10-01,0.15517241379310345,369.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.017241379310344827,41.0
2017-02-01,0.5,1190.0
2017-03-01,0.13793103448275862,328.0
2017-04-01,0.06896551724137931,164.0
2017-05-01,0.0847457627118644,202.0
2017-06-01,0.08196721311475409,195.0
2017-07-01,0.016129032258064516,38.0
2017-08-01,0.19047619047619047,453.0
2017-09-01,0.0,0.0
2017-10-01,0.014705882352941176,35.0
2017-11-01,0.07142857142857142,170.0
2017-12-01,0.0,0.0
2018-01-01,0.014705882352941176,35.0
2018-02-01,0.5857142857142857,1394.0
2018-03-01,0.056338028169014086,134.0
2018-04-01,0.014084507042253521,34.0
2018-05-01,0.09859154929577464,235.0
2018-06-01,0.0273972602739726,65.0
2018-07-01,0.02666666666666667,63.0
2018-08-01,0.06329113924050633,151.0
2018-09-01,0.0,0.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.011494252873563218,27.0
2019-01-01,0.0,0.0
2019-02-01,0.6888888888888889,1640.0
2019-03-01,0.06593406593406594,157.0
2019-04-01,0.0,0.0
2019-05-01,0.0,0.0
2019-06-01,0.010638297872340425,25.0
2019-07-01,0.010526315789473684,25.0
2019-08-01,0.11578947368421053,276.0
2019-09-01,0.0,0.0
2019-10-01,0.0,0.0
2019-11-01,0.010101010101010102,24.0
2019-12-01,0.0,0.0
2020-01-01,0.0,0.0
2020-02-01,0.82,1952.0
2020-03-01,0.07,167.0
2020-04-01,0.0,0.0
2020-05-01,0.01,24.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.05714285714285714,136.0
2020-10-01,0.0,0.0
2020-11-01,0.0,0.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.9428571428571428,2244.0
2021-03-01,0.0,0.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
