,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.0,0.0
2014-10-01,0.16279069767441862,420.0
2014-11-01,0.0,0.0
2014-12-01,0.0,0.0
2015-01-01,0.9302325581395349,2401.0
2015-02-01,0.0,0.0
2015-03-01,0.0,0.0
2015-04-01,0.06976744186046512,180.0
2015-05-01,0.18604651162790697,480.0
2015-06-01,0.023255813953488372,60.0
2015-07-01,0.32558139534883723,840.0
2015-08-01,0.0,0.0
2015-09-01,0.0,0.0
2015-10-01,0.0,0.0
2015-11-01,0.0,0.0
2015-12-01,0.0,0.0
2016-01-01,0.27906976744186046,720.0
2016-02-01,0.0,0.0
2016-03-01,0.0,0.0
2016-04-01,0.09302325581395349,240.0
2016-05-01,0.0,0.0
2016-06-01,0.023255813953488372,60.0
2016-07-01,0.0,0.0
2016-08-01,0.0,0.0
2016-09-01,0.0,0.0
2016-10-01,0.0,0.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.0,0.0
2017-02-01,0.8409090909090909,2170.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.0,0.0
2017-06-01,0.0,0.0
2017-07-01,0.046511627906976744,120.0
2017-08-01,0.11363636363636363,293.0
2017-09-01,0.0,0.0
2017-10-01,0.0,0.0
2017-11-01,0.0,0.0
2017-12-01,0.0,0.0
2018-01-01,0.0,0.0
2018-02-01,0.8636363636363636,2229.0
2018-03-01,0.0,0.0
2018-04-01,0.0,0.0
2018-05-01,0.0,0.0
2018-06-01,0.0,0.0
2018-07-01,0.0,0.0
2018-08-01,0.0,0.0
2018-09-01,0.0,0.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.0,0.0
2019-01-01,0.0,0.0
2019-02-01,0.38095238095238093,983.0
2019-03-01,0.14285714285714285,369.0
2019-04-01,0.0,0.0
2019-05-01,0.023809523809523808,61.0
2019-06-01,0.0,0.0
2019-07-01,0.0,0.0
2019-08-01,0.0,0.0
2019-09-01,0.0,0.0
2019-10-01,0.0,0.0
2019-11-01,0.0,0.0
2019-12-01,0.0,0.0
2020-01-01,0.047619047619047616,123.0
2020-02-01,0.4523809523809524,1168.0
2020-03-01,0.0,0.0
2020-04-01,0.0,0.0
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.24489795918367346,632.0
2020-10-01,0.0,0.0
2020-11-01,0.02040816326530612,53.0
2020-12-01,0.0,0.0
2021-01-01,0.04081632653061224,105.0
2021-02-01,0.6326530612244898,1633.0
2021-03-01,0.061224489795918366,158.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
