,Percentage of drugs change price,Number
8/1/2014,0,0
9/1/2014,0,0
10/1/2014,0.263157895,11
11/1/2014,0.050847458,2
12/1/2014,0,0
1/1/2015,0,0
2/1/2015,0,0
3/1/2015,0.046875,2
4/1/2015,0,0
5/1/2015,0,0
6/1/2015,0.046153846,2
7/1/2015,0,0
8/1/2015,0,0
9/1/2015,0,0
10/1/2015,0.371428571,16
11/1/2015,0.042253521,2
12/1/2015,0.273972603,12
1/1/2016,0.02739726,1
2/1/2016,0,0
3/1/2016,0,0
4/1/2016,0.04109589,2
5/1/2016,0,0
6/1/2016,0,0
7/1/2016,0,0
8/1/2016,0.18627451,8
9/1/2016,0,0
10/1/2016,0,0
11/1/2016,0.049019608,2
12/1/2016,0,0
1/1/2017,0.038461538,2
2/1/2017,0.028846154,1
3/1/2017,0.019230769,1
4/1/2017,0,0
5/1/2017,0.212389381,9
6/1/2017,0.017857143,1
7/1/2017,0,0
8/1/2017,0.045045045,2
9/1/2017,0.210526316,9
10/1/2017,0.007575758,0
11/1/2017,0,0
12/1/2017,0.006756757,0
1/1/2018,0.048611111,2
2/1/2018,0.184931507,8
3/1/2018,0,0
4/1/2018,0.006993007,0
5/1/2018,0.006993007,0
6/1/2018,0.006896552,0
7/1/2018,0.006802721,0
8/1/2018,0,0
9/1/2018,0,0
10/1/2018,0,0
11/1/2018,0.016853933,1
12/1/2018,0.116666667,5
1/1/2019,0.013605442,1
2/1/2019,0.227586207,10
3/1/2019,0.013513514,1
4/1/2019,0.013422819,1
5/1/2019,0,0
6/1/2019,0.013513514,1
7/1/2019,0,0
8/1/2019,0,0
9/1/2019,0.134228188,6
10/1/2019,0.005952381,0
11/1/2019,0,0
12/1/2019,0,0
1/1/2020,0.013888889,1
2/1/2020,0.3125,13
3/1/2020,0,0
4/1/2020,0,0
5/1/2020,0,0
6/1/2020,0,0
7/1/2020,0,0
8/1/2020,0,0
9/1/2020,0.472222222,20
10/1/2020,0,0
11/1/2020,0.055555556,2
12/1/2020,0,0
1/1/2021,0,0
2/1/2021,0.472222222,20
3/1/2021,0,0
4/1/2021,0,0
5/1/2021,0,0
6/1/2021,0,0
