date,yhat,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
1/1/15,242.4363006,237.9591183,231.9565404,252.2461267,237.9591183,237.9591183,4.477182267,4.477182267,4.477182267,4.477182267,4.477182267,4.477182267,0,0,0
2/1/15,241.3477929,238.3465698,230.531735,251.3748286,238.3465698,238.3465698,3.001223077,3.001223077,3.001223077,3.001223077,3.001223077,3.001223077,0,0,0
3/1/15,238.9040021,238.6965259,228.9047692,249.2431526,238.6965259,238.6965259,0.207476119,0.207476119,0.207476119,0.207476119,0.207476119,0.207476119,0,0,0
4/1/15,227.9056982,239.0839774,217.1947363,238.9568628,239.0839774,239.0839774,-11.17827925,-11.17827925,-11.17827925,-11.17827925,-11.17827925,-11.17827925,0,0,0
5/1/15,217.4858338,239.4589304,207.3674335,227.9297573,239.4589304,239.4589304,-21.97309663,-21.97309663,-21.97309663,-21.97309663,-21.97309663,-21.97309663,0,0,0
6/1/15,218.1831002,239.8463819,208.0535106,228.733509,239.8463819,239.8463819,-21.66328173,-21.66328173,-21.66328173,-21.66328173,-21.66328173,-21.66328173,0,0,0
7/1/15,214.8630086,240.2213349,204.5777578,226.2113175,240.2213349,240.2213349,-25.35832634,-25.35832634,-25.35832634,-25.35832634,-25.35832634,-25.35832634,0,0,0
8/1/15,227.6541887,240.6087864,217.3880138,237.9504835,240.6087864,240.6087864,-12.95459771,-12.95459771,-12.95459771,-12.95459771,-12.95459771,-12.95459771,0,0,0
9/1/15,264.3409267,240.9962378,255.0379246,274.7515498,240.9962378,240.9962378,23.34468884,23.34468884,23.34468884,23.34468884,23.34468884,23.34468884,0,0,0
10/1/15,275.6210016,241.3711909,264.8947342,285.9567783,241.3711909,241.3711909,34.2498107,34.2498107,34.2498107,34.2498107,34.2498107,34.2498107,0,0,0
11/1/15,269.1881129,241.7586423,259.5629329,280.2489999,241.7586423,241.7586423,27.42947055,27.42947055,27.42947055,27.42947055,27.42947055,27.42947055,0,0,0
12/1/15,255.6383708,242.1335953,244.6522913,266.4979145,242.1335953,242.1335953,13.50477547,13.50477547,13.50477547,13.50477547,13.50477547,13.50477547,0,0,0
1/1/16,242.7578755,242.5210468,232.0058219,254.0627741,242.5210468,242.5210468,0.236828712,0.236828712,0.236828712,0.236828712,0.236828712,0.236828712,0,0,0
2/1/16,246.5407067,242.9084983,236.6964265,256.6161946,242.9084983,242.9084983,3.632208418,3.632208418,3.632208418,3.632208418,3.632208418,3.632208418,0,0,0
3/1/16,230.3153688,243.2709528,219.6743107,241.0074681,243.2709528,243.2709528,-12.95558408,-12.95558408,-12.95558408,-12.95558408,-12.95558408,-12.95558408,0,0,0
4/1/16,229.1340511,243.6584043,219.1823565,240.2389797,243.6584043,243.6584043,-14.52435321,-14.52435321,-14.52435321,-14.52435321,-14.52435321,-14.52435321,0,0,0
5/1/16,227.2454868,244.0333573,216.731876,237.1653154,244.0333573,244.0333573,-16.78787054,-16.78787054,-16.78787054,-16.78787054,-16.78787054,-16.78787054,0,0,0
6/1/16,226.6610258,244.4208088,216.1852854,238.0600207,244.4208088,244.4208088,-17.75978296,-17.75978296,-17.75978296,-17.75978296,-17.75978296,-17.75978296,0,0,0
7/1/16,225.627913,244.7957618,215.1854307,235.9990523,244.7957618,244.7957618,-19.16784883,-19.16784883,-19.16784883,-19.16784883,-19.16784883,-19.16784883,0,0,0
8/1/16,234.2114906,245.1832133,223.7127506,244.5642045,245.1832133,245.1832133,-10.97172271,-10.97172271,-10.97172271,-10.97172271,-10.97172271,-10.97172271,0,0,0
9/1/16,262.3925215,245.5706647,252.3257046,272.6532853,245.5706647,245.5706647,16.82185677,16.82185677,16.82185677,16.82185677,16.82185677,16.82185677,0,0,0
10/1/16,270.4136664,245.9456178,259.4328582,281.3950271,245.9456178,245.9456178,24.46804869,24.46804869,24.46804869,24.46804869,24.46804869,24.46804869,0,0,0
11/1/16,274.4691448,246.3330692,263.6931141,285.5016861,246.3330692,246.3330692,28.13607562,28.13607562,28.13607562,28.13607562,28.13607562,28.13607562,0,0,0
12/1/16,266.2711485,246.7080222,255.3380235,277.3932381,246.7080222,246.7080222,19.56312631,19.56312631,19.56312631,19.56312631,19.56312631,19.56312631,0,0,0
1/1/17,260.2334846,247.0954737,249.8376932,270.5576422,247.0954737,247.0954737,13.13801093,13.13801093,13.13801093,13.13801093,13.13801093,13.13801093,0,0,0
2/1/17,249.6325069,247.4829252,238.5863546,260.2751302,247.4829252,247.4829252,2.149581746,2.149581746,2.149581746,2.149581746,2.149581746,2.149581746,0,0,0
3/1/17,239.2620469,247.8328813,228.2648751,249.853664,247.8328813,247.8328813,-8.570834388,-8.570834388,-8.570834388,-8.570834388,-8.570834388,-8.570834388,0,0,0
4/1/17,234.9103589,248.2203328,224.6942013,245.7468499,248.2203328,248.2203328,-13.30997384,-13.30997384,-13.30997384,-13.30997384,-13.30997384,-13.30997384,0,0,0
5/1/17,230.1470528,248.5952858,220.2905559,240.685101,248.5952858,248.5952858,-18.44823296,-18.44823296,-18.44823296,-18.44823296,-18.44823296,-18.44823296,0,0,0
6/1/17,229.9406146,248.9827373,218.69929,240.5857664,248.9827373,248.9827373,-19.04212266,-19.04212266,-19.04212266,-19.04212266,-19.04212266,-19.04212266,0,0,0
7/1/17,228.0838773,249.3576903,217.0591976,238.8511756,249.3576903,249.3576903,-21.27381299,-21.27381299,-21.27381299,-21.27381299,-21.27381299,-21.27381299,0,0,0
8/1/17,238.013995,249.7451417,227.9592615,248.303771,249.7451417,249.7451417,-11.73114673,-11.73114673,-11.73114673,-11.73114673,-11.73114673,-11.73114673,0,0,0
9/1/17,269.0633111,250.1325932,258.5351209,279.614647,250.1325932,250.1325932,18.93071788,18.93071788,18.93071788,18.93071788,18.93071788,18.93071788,0,0,0
10/1/17,278.2922414,250.5075462,267.9877922,289.1854141,250.5075462,250.5075462,27.7846952,27.7846952,27.7846952,27.7846952,27.7846952,27.7846952,0,0,0
11/1/17,278.9077051,250.8949977,268.3055566,289.5573247,250.8949977,250.8949977,28.01270739,28.01270739,28.01270739,28.01270739,28.01270739,28.01270739,0,0,0
12/1/17,268.8789283,251.2699507,258.794428,278.7516755,251.2699507,251.2699507,17.6089776,17.6089776,17.6089776,17.6089776,17.6089776,17.6089776,0,0,0
1/1/18,260.4368974,251.6574022,249.4948945,271.2027719,251.6574022,251.6574022,8.779495213,8.779495213,8.779495213,8.779495213,8.779495213,8.779495213,0,0,0
2/1/18,254.5518397,252.0448536,244.0996521,264.1173916,252.0448536,252.0448536,2.50698607,2.50698607,2.50698607,2.50698607,2.50698607,2.50698607,0,0,0
3/1/18,248.2136614,252.3948098,237.8944744,258.9800622,252.3948098,252.3948098,-4.181148392,-4.181148392,-4.181148392,-4.181148392,-4.181148392,-4.181148392,0,0,0
4/1/18,240.5884177,252.7822612,229.0486096,251.087428,252.7822612,252.7822612,-12.19384351,-12.19384351,-12.19384351,-12.19384351,-12.19384351,-12.19384351,0,0,0
5/1/18,232.9798069,253.1572143,223.4563163,243.4691024,253.1572143,253.1572143,-20.17740731,-20.17740731,-20.17740731,-20.17740731,-20.17740731,-20.17740731,0,0,0
6/1/18,233.200416,253.5446657,223.0446682,243.8811473,253.5446657,253.5446657,-20.34424972,-20.34424972,-20.34424972,-20.34424972,-20.34424972,-20.34424972,0,0,0
7/1/18,230.5812883,253.9196187,219.3616761,240.9629564,253.9196187,253.9196187,-23.33833039,-23.33833039,-23.33833039,-23.33833039,-23.33833039,-23.33833039,0,0,0
8/1/18,241.9148409,254.3070702,230.8712965,252.8805961,254.3070702,254.3070702,-12.39222932,-12.39222932,-12.39222932,-12.39222932,-12.39222932,-12.39222932,0,0,0
9/1/18,275.8007624,254.6945217,264.9142376,285.7703359,254.6945217,254.6945217,21.10624076,21.10624076,21.10624076,21.10624076,21.10624076,21.10624076,0,0,0
10/1/18,286.116299,255.0694747,274.8811655,296.8227292,255.0694747,255.0694747,31.04682435,31.04682435,31.04682435,31.04682435,31.04682435,31.04682435,0,0,0
11/1/18,283.2341247,255.4569261,272.2195336,294.364833,255.4569261,255.4569261,27.77719852,27.77719852,27.77719852,27.77719852,27.77719852,27.77719852,0,0,0
12/1/18,271.4200367,255.8318792,261.1333847,282.3275292,255.8318792,255.8318792,15.58815753,15.58815753,15.58815753,15.58815753,15.58815753,15.58815753,0,0,0
1/1/19,260.6965129,256.2193306,250.6875545,271.147178,256.2193306,256.2193306,4.477182267,4.477182267,4.477182267,4.477182267,4.477182267,4.477182267,0,0,0
2/1/19,259.6080052,256.6067821,248.852415,270.5194675,256.6067821,256.6067821,3.001223077,3.001223077,3.001223077,3.001223077,3.001223077,3.001223077,0,0,0
3/1/19,257.1642144,256.9567382,246.4466406,267.8504019,256.9567382,256.9567382,0.207476119,0.207476119,0.207476119,0.207476119,0.207476119,0.207476119,0,0,0
4/1/19,246.1659104,257.3441897,235.3665435,256.9127381,257.3441897,257.3441897,-11.17827925,-11.17827925,-11.17827925,-11.17827925,-11.17827925,-11.17827925,0,0,0
5/1/19,235.7460461,257.7191427,226.2514125,246.6327236,257.7191427,257.7191427,-21.97309663,-21.97309663,-21.97309663,-21.97309663,-21.97309663,-21.97309663,0,0,0
6/1/19,236.4433124,258.1065942,225.5856528,247.3217045,258.1065942,258.1065942,-21.66328173,-21.66328173,-21.66328173,-21.66328173,-21.66328173,-21.66328173,0,0,0
7/1/19,233.1232209,258.4815472,222.0722549,242.8887935,258.4815472,258.4815472,-25.35832634,-25.35832634,-25.35832634,-25.35832634,-25.35832634,-25.35832634,0,0,0
8/1/19,245.9144009,258.8689987,235.537997,256.3608898,258.8689987,258.8689987,-12.95459771,-12.95459771,-12.95459771,-12.95459771,-12.95459771,-12.95459771,0,0,0
9/1/19,282.601139,259.2564501,271.9604835,292.3330774,259.2564501,259.2564501,23.34468884,23.34468884,23.34468884,23.34468884,23.34468884,23.34468884,0,0,0
10/1/19,293.8812138,259.6314031,283.8106276,305.3565705,259.6314031,259.6314031,34.2498107,34.2498107,34.2498107,34.2498107,34.2498107,34.2498107,0,0,0
