,Release Date,Normalized Sentiment
0,2013-12-02,-66.0
1,2013-12-03,-55.75
2,2013-12-04,-64.5
3,2013-12-05,-28.0
4,2013-12-06,-54.0
5,2013-12-10,0.5
6,2013-12-18,-3.0
7,2013-12-20,-54.0
8,2014-01-07,-15.5
9,2014-01-09,-44.0
10,2014-01-10,-18.0
11,2014-01-13,28.333333333333332
12,2014-01-14,-58.0
13,2014-01-15,-26.8
14,2014-01-16,13.666666666666666
15,2014-01-22,-19.0
16,2014-01-23,-23.666666666666668
17,2014-01-24,-50.0
18,2014-01-28,0.0
19,2014-01-30,7.0
20,2014-02-03,-45.0
21,2014-02-04,56.0
22,2014-02-05,-37.0
23,2014-02-11,-40.333333333333336
24,2014-02-12,-22.333333333333332
25,2014-02-13,-52.5
26,2014-02-18,-50.0
27,2014-02-19,-21.0
28,2014-02-25,-53.0
29,2014-02-26,-24.0
30,2014-03-03,-54.666666666666664
31,2014-03-04,-1.4
32,2014-03-05,-10.0
33,2014-03-06,43.0
34,2014-03-07,-54.5
35,2014-03-10,0.0
36,2014-03-11,-57.0
37,2014-03-12,-5.166666666666667
38,2014-03-13,-63.0
39,2014-03-21,35.0
40,2014-03-27,-71.5
41,2014-03-28,-45.0
42,2014-04-05,-69.0
43,2014-04-06,-49.0
44,2014-04-08,-11.0
45,2014-04-09,-47.0
46,2014-04-16,1.0
47,2014-04-17,13.0
48,2014-04-23,-24.5
49,2014-04-24,-65.0
50,2014-04-29,-40.0
51,2014-04-30,-45.333333333333336
52,2014-05-01,-57.5
53,2014-05-06,-66.16666666666667
54,2014-05-07,-33.44444444444444
55,2014-05-08,-51.857142857142854
56,2014-05-09,-58.5
57,2014-05-12,-34.75
58,2014-05-13,-19.833333333333332
59,2014-05-14,-1.0
60,2014-05-15,-7.666666666666667
61,2014-05-20,-19.666666666666668
62,2014-05-21,-50.5
63,2014-05-22,-17.0
64,2014-05-28,-46.5
65,2014-05-29,-18.5
66,2014-05-30,-34.0
67,2014-06-02,-50.0
68,2014-06-03,-1.0
69,2014-06-04,-50.0
70,2014-06-10,-56.0
71,2014-06-11,-65.0
72,2014-06-17,-51.5
73,2014-06-24,-23.0
74,2014-06-25,2.0
75,2014-07-16,28.0
76,2014-07-23,-37.0
77,2014-07-24,-14.333333333333334
78,2014-07-25,-50.0
79,2014-07-29,-73.0
80,2014-07-30,-42.833333333333336
81,2014-07-31,-44.666666666666664
82,2014-08-01,-53.5
83,2014-08-04,-40.0
84,2014-08-06,-39.0
85,2014-08-07,-52.0
86,2014-08-11,-90.0
87,2014-08-12,-58.5
88,2014-08-13,-82.0
89,2014-08-15,-21.0
90,2014-08-25,-47.0
91,2014-08-27,-92.0
92,2014-08-31,-56.0
93,2014-09-04,-44.0
94,2014-09-08,-24.5
95,2014-09-09,-31.142857142857142
96,2014-09-10,-60.0
97,2014-09-18,-30.0
98,2014-09-24,-62.0
99,2014-09-30,-45.0
100,2014-10-01,-53.5
101,2014-10-16,17.0
102,2014-10-22,-19.0
103,2014-10-23,-46.0
104,2014-10-24,-6.0
105,2014-10-27,-71.0
106,2014-10-28,-60.666666666666664
107,2014-10-29,-41.0
108,2014-10-30,-25.2
109,2014-10-31,-60.0
110,2014-11-03,-29.5
111,2014-11-04,-43.75
112,2014-11-05,-42.333333333333336
113,2014-11-06,-35.666666666666664
114,2014-11-07,-62.5
115,2014-11-10,-58.0
116,2014-11-11,17.333333333333332
117,2014-11-12,-68.0
118,2014-11-18,-53.0
119,2014-11-19,-11.0
120,2014-11-20,-52.0
121,2014-12-01,-61.0
122,2014-12-02,-40.0
123,2014-12-04,-44.0
124,2014-12-08,-57.0
125,2014-12-11,-12.0
126,2014-12-12,-31.5
127,2014-12-16,12.0
128,2015-01-12,99.0
129,2015-01-13,2.0
130,2015-01-14,-27.5
131,2015-01-15,-59.0
132,2015-01-27,-1.0
133,2015-01-28,24.0
134,2015-01-29,-35.0
135,2015-01-30,-57.0
136,2015-02-02,-49.333333333333336
137,2015-02-03,-50.0
138,2015-02-04,-80.0
139,2015-02-05,-26.0
140,2015-02-09,-95.0
141,2015-02-10,-42.0
142,2015-02-11,7.0
143,2015-02-12,-35.6
144,2015-02-18,-29.0
145,2015-02-19,-69.0
146,2015-02-24,-44.0
147,2015-02-25,-19.0
148,2015-02-26,-30.25
149,2015-02-27,3.0
150,2015-03-02,-35.5
151,2015-03-03,-8.285714285714286
152,2015-03-04,18.0
153,2015-03-05,-68.0
154,2015-03-06,-39.0
155,2015-03-09,-39.666666666666664
156,2015-03-10,1.0
157,2015-03-11,-13.0
158,2015-03-12,-39.666666666666664
159,2015-03-13,-75.0
160,2015-03-16,-47.0
161,2015-03-23,-68.0
162,2015-03-26,-39.0
163,2015-03-30,-56.0
164,2015-04-14,-47.5
165,2015-04-15,-24.0
166,2015-04-21,27.0
167,2015-04-28,-32.0
168,2015-04-29,-25.0
169,2015-04-30,-8.166666666666666
170,2015-05-01,48.0
171,2015-05-05,-57.0
172,2015-05-06,-34.42857142857143
173,2015-05-07,-40.42857142857143
174,2015-05-11,-31.0
175,2015-05-12,2.3333333333333335
176,2015-05-13,-25.666666666666668
177,2015-05-14,-9.0
178,2015-05-15,-64.0
179,2015-05-18,67.0
180,2015-05-19,4.0
181,2015-05-27,-48.0
182,2015-05-28,-18.0
183,2015-06-01,-11.0
184,2015-06-02,-57.5
185,2015-06-03,-24.0
186,2015-06-04,-30.0
187,2015-06-09,-69.66666666666667
188,2015-06-10,-35.333333333333336
189,2015-06-18,-43.0
190,2015-06-23,-39.0
191,2015-06-24,-32.5
192,2015-07-08,-53.0
193,2015-07-23,-12.666666666666666
194,2015-07-24,-53.0
195,2015-07-28,-58.0
196,2015-07-29,-13.6
197,2015-07-30,-9.333333333333334
198,2015-08-03,-49.5
199,2015-08-04,-48.0
200,2015-08-05,-25.0
201,2015-08-06,-46.8
202,2015-08-07,-55.5
203,2015-08-10,9.5
204,2015-08-12,3.0
205,2015-08-13,-43.0
206,2015-08-19,-23.0
207,2015-09-09,-31.75
208,2015-09-10,-14.666666666666666
209,2015-09-15,-50.0
210,2015-09-16,-37.5
211,2015-09-17,-21.166666666666668
212,2015-09-18,-53.0
213,2015-09-29,-56.333333333333336
214,2015-09-30,-55.0
215,2015-10-06,-29.0
216,2015-10-09,24.0
217,2015-10-10,-45.0
218,2015-10-12,-49.0
219,2015-10-13,-7.0
220,2015-10-15,-52.0
221,2015-10-16,-59.0
222,2015-10-19,-42.0
223,2015-10-21,-34.0
224,2015-10-22,-35.42857142857143
225,2015-10-23,-6.0
226,2015-10-26,-5.0
227,2015-10-27,-35.0
228,2015-10-28,-24.6
229,2015-10-29,-7.166666666666667
230,2015-10-30,-14.0
231,2015-11-02,-22.25
232,2015-11-03,-26.0
233,2015-11-04,-23.75
234,2015-11-05,-40.6
235,2015-11-06,-33.333333333333336
236,2015-11-09,-30.6
237,2015-11-10,-27.4
238,2015-11-11,15.0
239,2015-11-12,-33.0
240,2015-11-17,-60.0
241,2015-11-18,-45.57142857142857
242,2015-11-19,-30.375
243,2015-11-24,6.0
244,2015-12-01,23.0
245,2015-12-02,-57.75
246,2015-12-07,-34.333333333333336
247,2015-12-08,-42.0
248,2015-12-09,-42.5
249,2015-12-11,-57.0
250,2015-12-16,-9.0
251,2015-12-19,-85.0
252,2015-12-22,-20.0
253,2016-01-05,-43.0
254,2016-01-11,-22.5
255,2016-01-12,-15.375
256,2016-01-13,-19.0
257,2016-01-14,-5.0
258,2016-01-21,-50.0
259,2016-01-26,-41.0
260,2016-01-27,-46.5
261,2016-01-28,-48.0
262,2016-01-29,-32.0
263,2016-02-01,-37.0
264,2016-02-02,-35.5
265,2016-02-03,-24.666666666666668
266,2016-02-04,6.0
267,2016-02-09,-20.0
268,2016-02-10,-40.0
269,2016-02-11,-21.6
270,2016-02-17,-46.0
271,2016-02-18,-68.0
272,2016-02-22,4.0
273,2016-02-23,-56.0
274,2016-02-24,-17.666666666666668
275,2016-02-25,-19.666666666666668
276,2016-02-26,19.0
277,2016-02-29,-52.0
278,2016-03-01,-43.0
279,2016-03-03,-38.0
280,2016-03-07,-55.0
281,2016-03-08,-43.25
282,2016-03-10,-60.5
283,2016-03-14,-77.0
284,2016-03-15,-42.0
285,2016-03-16,-18.5
286,2016-03-22,-48.0
287,2016-03-23,-38.0
288,2016-03-24,-64.0
289,2016-04-05,-70.0
290,2016-04-07,-67.0
291,2016-04-12,-40.5
292,2016-04-13,-5.0
293,2016-04-21,-47.0
294,2016-04-26,-42.0
295,2016-04-27,-64.0
296,2016-04-28,-24.571428571428573
297,2016-04-29,-3.0
298,2016-05-02,-62.0
299,2016-05-03,-28.0
300,2016-05-04,-17.0
301,2016-05-05,-48.625
302,2016-05-09,-39.333333333333336
303,2016-05-10,-21.533333333333335
304,2016-05-11,-18.333333333333332
305,2016-05-12,-36.0
306,2016-05-13,20.0
307,2016-05-16,-41.0
308,2016-05-18,-5.0
309,2016-05-19,10.0
310,2016-05-23,-12.5
311,2016-05-24,18.0
312,2016-06-01,-37.0
313,2016-06-02,-46.666666666666664
314,2016-06-03,-17.0
315,2016-06-07,-40.5
316,2016-06-08,-52.375
317,2016-06-09,-45.0
318,2016-06-10,-28.0
319,2016-06-14,-13.0
320,2016-06-15,16.0
321,2016-06-17,-43.5
322,2016-06-21,-35.0
323,2016-06-29,1.0
324,2016-06-30,-30.0
325,2016-07-12,3.5
326,2016-07-13,-45.0
327,2016-07-15,-56.0
328,2016-07-19,-32.0
329,2016-07-22,-87.0
330,2016-07-26,-47.5
331,2016-07-27,-58.666666666666664
332,2016-07-29,-78.0
333,2016-08-01,-69.25
334,2016-08-02,-33.333333333333336
335,2016-08-03,-60.333333333333336
336,2016-08-04,-53.0
337,2016-08-05,-36.0
338,2016-08-08,-71.0
339,2016-08-09,-26.11111111111111
340,2016-08-11,-30.0
341,2016-08-12,-87.0
342,2016-08-16,-35.5
343,2016-08-17,-43.0
344,2016-08-22,-57.0
345,2016-08-23,-62.0
346,2016-08-24,-51.0
347,2016-08-30,-66.0
348,2016-08-31,-47.0
349,2016-09-07,-37.857142857142854
350,2016-09-08,-28.714285714285715
351,2016-09-09,-37.0
352,2016-09-12,-26.5
353,2016-09-13,-48.833333333333336
354,2016-09-14,-42.0
355,2016-09-15,-26.5
356,2016-09-16,-62.0
357,2016-09-19,-61.0
358,2016-09-21,36.0
359,2016-09-22,-66.0
360,2016-09-26,-57.0
361,2016-09-27,-43.0
362,2016-09-28,-52.0
363,2016-10-13,-76.0
364,2016-10-18,35.0
365,2016-10-21,-67.0
366,2016-10-24,-43.5
367,2016-10-25,-38.75
368,2016-10-26,-48.0
369,2016-10-27,-45.0
370,2016-10-28,-21.5
371,2016-10-31,-65.5
372,2016-11-01,7.0
373,2016-11-02,-52.75
374,2016-11-03,-54.5
375,2016-11-04,-30.333333333333332
376,2016-11-07,-46.69230769230769
377,2016-11-08,-11.285714285714286
378,2016-11-09,-57.0
379,2016-11-10,-53.0
380,2016-11-15,-47.0
381,2016-11-16,-37.6
382,2016-11-17,-6.5
383,2016-11-22,43.0
384,2016-11-29,-49.333333333333336
385,2016-12-02,-61.0
386,2016-12-05,-53.0
387,2016-12-07,-33.75
388,2016-12-08,-41.5
389,2016-12-13,-43.0
390,2016-12-14,-30.0
391,2016-12-15,98.0
392,2016-12-16,-61.0
393,2016-12-20,-61.0
394,2017-01-05,-36.166666666666664
395,2017-01-06,-48.0
396,2017-01-09,-26.2
397,2017-01-10,-20.363636363636363
398,2017-01-11,2.25
399,2017-01-19,-71.0
400,2017-01-24,7.0
401,2017-01-25,-10.0
402,2017-01-26,-51.0
403,2017-01-31,-17.142857142857142
404,2017-02-01,-50.333333333333336
405,2017-02-02,-31.0
406,2017-02-07,-50.25
407,2017-02-08,-5.5
408,2017-02-09,-45.0
409,2017-02-14,-75.0
410,2017-02-15,-33.4
411,2017-02-16,3.4
412,2017-02-21,-20.0
413,2017-02-22,-28.8
414,2017-02-23,-54.0
415,2017-02-24,-34.0
416,2017-02-28,-46.0
417,2017-03-01,-40.666666666666664
418,2017-03-02,-8.0
419,2017-03-03,-41.0
420,2017-03-06,-37.42857142857143
421,2017-03-07,-36.42857142857143
422,2017-03-08,-41.2
423,2017-03-09,-39.333333333333336
424,2017-03-10,-61.0
425,2017-03-13,-53.0
426,2017-03-14,-38.42857142857143
427,2017-03-15,-27.8
428,2017-03-16,-52.0
429,2017-03-17,-62.0
430,2017-03-20,-57.0
431,2017-03-21,-36.0
432,2017-03-22,-51.5
433,2017-03-24,-58.0
434,2017-03-27,-40.0
435,2017-03-28,-58.0
436,2017-03-29,18.0
437,2017-04-03,-30.0
438,2017-04-04,47.0
439,2017-04-05,-33.5
440,2017-04-11,-63.0
441,2017-04-18,-33.0
442,2017-04-20,2.0
443,2017-04-25,-36.6
