,NDC,Manufacturer,Product,Product Launch Date,Estimated LOE Date,Major Class,Acute/Chronic,Prod Form,Pack Size,Pack Quantity,Date,Year,Month,TRx,Previous_TRx,TRx_cumulative,WAC,Pct_change,Changed
2181,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2018_10,2018,10,623,,623.0,68.49,,0
2182,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2018_11,2018,11,750,623.0,1373.0,68.49,0.0,0
2183,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2018_12,2018,12,865,750.0,2238.0,68.49,0.0,0
2184,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_01,2019,1,956,865.0,956.0,68.49,0.0,0
2185,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_02,2019,2,995,956.0,1951.0,68.49,0.0,0
2186,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_03,2019,3,1122,995.0,3073.0,71.23,0.0400058402686525,1
2187,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_04,2019,4,1453,1122.0,4526.0,71.23,0.0,0
2188,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_05,2019,5,1619,1453.0,6145.0,71.23,0.0,0
2189,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_06,2019,6,1634,1619.0,7779.0,71.23,0.0,0
2190,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_07,2019,7,1945,1634.0,9724.0,71.23,0.0,0
2191,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_08,2019,8,1978,1945.0,11702.0,71.23,0.0,0
2192,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_09,2019,9,1979,1978.0,13681.0,71.23,0.0,0
2193,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_10,2019,10,2119,1979.0,15800.0,71.23,0.0,0
2194,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_11,2019,11,1854,2119.0,17654.0,71.23,0.0,0
2195,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2019_12,2019,12,2132,1854.0,19786.0,71.23,0.0,0
2196,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2020_01,2020,1,1857,2132.0,1857.0,71.23,0.0,0
2197,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2020_02,2020,2,1735,1857.0,3592.0,71.23,0.0,0
2198,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2020_03,2020,3,2119,1735.0,5711.0,75.5,0.05994665169170287,1
2199,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2020_04,2020,4,2072,2119.0,7783.0,75.5,0.0,0
2200,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2020_05,2020,5,1918,2072.0,9701.0,75.5,0.0,0
2201,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2020_06,2020,6,2091,1918.0,11792.0,75.5,0.0,0
2202,2418230,Eli Lilly and Co,OLUMIANT 06/2018 LLY,6/1/2018 0:00,Jun-30,IMMUNOLOGY,CHRONIC,ORALS,1,30.0,2020_07,2020,7,2090,2091.0,13882.0,75.5,0.0,0
3176,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_04,2018,4,47,,47.0,201.45,,0
3177,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_05,2018,5,62,47.0,109.0,201.45,0.0,0
3178,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_06,2018,6,69,62.0,178.0,201.45,0.0,0
3179,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_07,2018,7,71,69.0,249.0,201.45,0.0,0
3180,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_08,2018,8,86,71.0,335.0,201.45,0.0,0
3181,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_09,2018,9,95,86.0,430.0,201.45,0.0,0
3182,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_10,2018,10,118,95.0,548.0,201.45,0.0,0
3183,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_11,2018,11,119,118.0,667.0,201.45,0.0,0
3184,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2018_12,2018,12,108,119.0,775.0,201.45,0.0,0
3185,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_01,2019,1,134,108.0,134.0,201.45,0.0,0
3186,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_02,2019,2,150,134.0,284.0,201.45,0.0,0
3187,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_03,2019,3,155,150.0,439.0,209.5,0.039960287912633514,1
3188,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_04,2019,4,163,155.0,602.0,209.5,0.0,0
3189,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_05,2019,5,168,163.0,770.0,209.5,0.0,0
3190,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_06,2019,6,161,168.0,931.0,209.5,0.0,0
3191,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_07,2019,7,171,161.0,1102.0,209.5,0.0,0
3192,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_08,2019,8,188,171.0,1290.0,209.5,0.0,0
3193,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_09,2019,9,168,188.0,1458.0,209.5,0.0,0
3194,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_10,2019,10,206,168.0,1664.0,209.5,0.0,0
3195,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_11,2019,11,169,206.0,1833.0,209.5,0.0,0
3196,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2019_12,2019,12,174,169.0,2007.0,209.5,0.0,0
3197,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2020_01,2020,1,192,174.0,192.0,209.5,0.0,0
3198,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2020_02,2020,2,192,192.0,384.0,209.5,0.0,0
3199,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2020_03,2020,3,247,192.0,631.0,221.02,0.05498806682577562,1
3200,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2020_04,2020,4,260,247.0,891.0,221.02,0.0,0
3201,2448354,Eli Lilly and Co,VERZENIO 10/2017 LLY,10/1/2017 0:00,Dec-29,ONCOLOGICS,ACUTE,ORALS,1,14.0,2020_05,2020,5,242,260.0,1133.0,221.02,0.0,0
