,row,column,corr
0,A.C.T.H.,A.C.T.H.,1.0
1,A.C.T.H.,A05A1 CHOLERETICS+CHOLEKINETIC,-0.055689104161388475
2,A.C.T.H.,ADHD,0.6549181261334716
3,A.C.T.H.,ALL OTHER RESPIRATORY,-0.5716539060285744
4,A.C.T.H.,ALL OTHER THERAPEUTICS,0.822612369346879
5,A.C.T.H.,ALL OTHER UROLOGICAL,0.7598737629059946
6,A.C.T.H.,"ALLERGY, SYSTEMIC & NASAL",0.8495933134848194
7,A.C.T.H.,ANTI-ALZHEIMERS,0.8199089692936578
8,A.C.T.H.,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",0.5578891366011435
9,A.C.T.H.,ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,-0.39886151962929867
10,A.C.T.H.,"ANTI-OBESITY PREPS, EXCL. DIETETICS",0.295831485378156
11,A.C.T.H.,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",-0.1754816449161937
12,A.C.T.H.,ANTI-ULCERANTS,0.8501057544415025
13,A.C.T.H.,ANTIBACTERIALS,0.7479788721222274
14,A.C.T.H.,ANTICOAGULANTS,-0.6281217594368752
15,A.C.T.H.,ANTIDIABETICS,-0.369127096227157
16,A.C.T.H.,ANTIGOUT PREPS,0.5488977708746642
17,A.C.T.H.,"ANTIHYPERTENSIVES, PLAIN & COMBO",0.8019157747550028
18,A.C.T.H.,ANTITUBERCULARS,-0.4479854992328814
19,A.C.T.H.,"ANTIVIRALS, HERPES",0.8268558734333514
20,A.C.T.H.,BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,0.1605387650127762
21,A.C.T.H.,BLOOD COAGULATION,0.7622100824745465
22,A.C.T.H.,BPH (BENIGN PROSTATIC HYPERTROPHY),0.6665649611065582
23,A.C.T.H.,"CANCER DETOX AG, ANTI-NAUSEANTS",0.7254005412774391
24,A.C.T.H.,"CORTICOSTEROIDS, PLAIN & COMBO",0.5583034442099024
25,A.C.T.H.,"COUGH COLD, INCL FLU ANTIVIRALS",0.2281941511464358
26,A.C.T.H.,DERMATOLOGICS,0.5958160705074133
27,A.C.T.H.,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,-0.2961914946115342
28,A.C.T.H.,DIETETICS,-0.4009921202854851
29,A.C.T.H.,EAR TREATMENTS&EYE-EAR COMBOS,0.615294730622173
30,A.C.T.H.,ERECTILE DYSFUNCTION,0.777843435961831
31,A.C.T.H.,ERYTHROPOIETINS,0.17576553275353946
32,A.C.T.H.,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,-0.42729866225986446
33,A.C.T.H.,GI PRODUCTS,-0.3589743441344271
34,A.C.T.H.,GROWTH HORMONES,-0.7040060465300888
35,A.C.T.H.,HEMATOPOIETIC GROWTH FACTORS,0.9097272244707935
36,A.C.T.H.,HIV ANTIVIRALS,0.761108904850513
37,A.C.T.H.,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",0.7279669062180323
38,A.C.T.H.,HOSPITAL SOLUTIONS,-0.5521422775728216
39,A.C.T.H.,HYPOTHALAMIC HORMONES,-0.5084271225447502
40,A.C.T.H.,IMAGING,-0.9454652463158257
41,A.C.T.H.,IMMUNOLOGY,-0.5340423946618729
42,A.C.T.H.,IMMUNOSUPPRESSANTS,0.8043490793651082
43,A.C.T.H.,"INTERFERONS, EXCL MS MARKET",0.9086593294316377
44,A.C.T.H.,J07D6 TUBERCULOSIS VACCINES,0.47777284887283183
45,A.C.T.H.,LABOUR INDUCERS,0.21782528247932267
46,A.C.T.H.,LIPID REGULATORS,0.8388704153574994
47,A.C.T.H.,MENTAL HEALTH,0.015461344700933731
48,A.C.T.H.,MIOTICS+ANTIGLAUCOMA PREPS,0.600474657618516
49,A.C.T.H.,MULTIPLE SCLEROSIS,0.8110815259114829
50,A.C.T.H.,"NASAL PREPS, TOPICAL",0.7998101534353498
51,A.C.T.H.,NERVOUS SYSTEM DISORDERS,0.5417359753783133
52,A.C.T.H.,OCULAR ANTINEOVASCULARISATION,-0.5113602139863959
53,A.C.T.H.,ONCOLOGICS,-0.34701182430590277
54,A.C.T.H.,"OPHTHALMOLOGY, GENERAL",0.7980371421077394
55,A.C.T.H.,OSTEOPOROSIS,0.6479550783386976
56,A.C.T.H.,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,-0.29261384366672333
57,A.C.T.H.,OTHER CARDIOVASCULARS,0.07456644224064839
58,A.C.T.H.,OTHER CNS,0.42821688472480196
59,A.C.T.H.,OTHER HAEMATOLOGICALS,-0.425729069127382
60,A.C.T.H.,OTHER HORMONES,0.6719697718267086
61,A.C.T.H.,OTHER WOMEN'S HEALTH,0.7986202342979675
62,A.C.T.H.,PAIN,0.7409339194274347
63,A.C.T.H.,POLYVAL IMMUNOGLOBLULINS IV&IM,0.8272875677812264
64,A.C.T.H.,RESP ANTIVIRALS EX FLU,-0.15773863634914648
65,A.C.T.H.,RESPIRATORY AGENTS,0.44163396112401143
66,A.C.T.H.,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",0.761437627168914
67,A.C.T.H.,SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,-0.022106776370608993
68,A.C.T.H.,SYST ANTIFUNGALS,0.4319462972800553
69,A.C.T.H.,THROMBOPOIETIN AGONISTS,-0.5686290186975808
70,A.C.T.H.,THYROID ANTI-THYROID AND IODINE PREPS,0.7538699158109573
71,A.C.T.H.,URINARY INCONTINENCE,0.5148857259412409
72,A.C.T.H.,"VACCINES (PURE, COMB, OTHER)",-0.09135595120039584
73,A.C.T.H.,VIRAL HEPATITIS,-0.21388594522698195
74,A.C.T.H.,VITAMINS & MINERALS,0.8668776685736798
75,A05A1 CHOLERETICS+CHOLEKINETIC,A.C.T.H.,-0.055689104161388475
76,A05A1 CHOLERETICS+CHOLEKINETIC,A05A1 CHOLERETICS+CHOLEKINETIC,1.0
77,A05A1 CHOLERETICS+CHOLEKINETIC,ADHD,-0.03483963134086339
78,A05A1 CHOLERETICS+CHOLEKINETIC,ALL OTHER RESPIRATORY,0.31173339053691684
79,A05A1 CHOLERETICS+CHOLEKINETIC,ALL OTHER THERAPEUTICS,0.14846474221876088
80,A05A1 CHOLERETICS+CHOLEKINETIC,ALL OTHER UROLOGICAL,-0.0597655505780881
81,A05A1 CHOLERETICS+CHOLEKINETIC,"ALLERGY, SYSTEMIC & NASAL",-0.10845801418399556
82,A05A1 CHOLERETICS+CHOLEKINETIC,ANTI-ALZHEIMERS,-0.16412291401421125
83,A05A1 CHOLERETICS+CHOLEKINETIC,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",0.032435095483495074
